,Conc,Duration,HI
0,0.0001,3.5019164999999997,1.6770354175013713e-06
1,0.0002,3.480231166666667,4.992482097493678e-06
2,0.00030000000000000003,3.4637176666666663,9.275974238508411e-06
3,0.0004,3.449999833333333,1.4273114480471349e-05
4,0.0005,3.4385174999999997,1.9678484610881243e-05
5,0.0006000000000000001,3.4283703333333335,2.552939173563118e-05
6,0.0007,3.419184833333334,3.180973811033709e-05
7,0.0008,3.410762,3.846086545429443e-05
8,0.0009000000000000001,3.4030196666666668,4.5388088173149297e-05
9,0.001,3.3959136666666665,5.249340015702728e-05
10,0.002,3.3424983333333333,0.00013459490054920024
11,0.003,3.305336166666667,0.00023088139830979343
12,0.004,3.2756626666666664,0.0003383679859456606
13,0.005,3.2501598333333335,0.00045700436179467945
14,0.006,3.2274266666666667,0.000585901431957609
15,0.007,3.2065498333333333,0.0007251884554803838
16,0.008,3.1868881666666664,0.0008762315054162172
17,0.009000000000000001,3.168142,0.001039001962452312
18,0.01,3.150084333333333,0.0012139088267227635
19,0.03,2.828652,0.007658899047033628
20,0.049999999999999996,2.513777333333333,0.02036822757231421
21,0.06999999999999999,2.1932020000000003,0.03978349139638594
22,0.08999999999999998,1.8664745,0.06618822621185681
23,0.10999999999999997,1.5348336666666667,0.09971561046768329
24,0.12999999999999998,1.2009953333333332,0.14024747228514753
25,0.15,0.8701923333333332,0.18712479399782023
26,0.16999999999999998,0.5561599999999999,0.23794495844509803
27,0.18999999999999997,0.28635266666666664,0.2868598140713235
28,0.20999999999999996,0.10665316666666665,0.3227027787562867
