,Conc,Duration,HI
0,0.0001,3.6639495,2.552450435231174e-06
1,0.0002,3.6202243333333333,7.678879616003797e-06
2,0.00030000000000000003,3.5856603333333337,1.4496929529221347e-05
3,0.0004,3.556265333333333,2.264022245458932e-05
4,0.0005,3.530138833333334,3.195762758674618e-05
5,0.0006000000000000001,3.5065693333333336,4.223793223765142e-05
6,0.0007,3.4851008333333335,5.3320303144084844e-05
7,0.0008,3.465267666666667,6.513796382121199e-05
8,0.0009000000000000001,3.4467845,7.762146338468483e-05
9,0.001,3.429412666666667,9.074308981325885e-05
10,0.002,3.292602,0.00025032916016971287
11,0.003,3.1910115,0.000450653072705245
12,0.004,3.1075298333333334,0.0006821796443829953
13,0.005,3.0355038333333333,0.0009393648693818249
14,0.006,2.971355833333333,0.0012193564027678805
15,0.007,2.9131106666666664,0.001519932642414642
16,0.008,2.8595764999999997,0.0018386914441914997
17,0.009000000000000001,2.8098698333333334,0.0021740623866178792
18,0.01,2.763397166666667,0.0025244358164665756
19,0.03,2.1386235,0.011887861153366975
20,0.049999999999999996,1.7380726666666664,0.02429702985617332
21,0.06999999999999999,1.4412498333333335,0.03806279640826397
22,0.08999999999999998,1.2036881666666666,0.05269747981396504
23,0.10999999999999997,0.9987851666666665,0.06843059037853964
24,0.12999999999999998,0.8135679999999998,0.08545480307661928
25,0.15,0.6434041666666667,0.10367292263866403
26,0.16999999999999998,0.488137166666667,0.12264675865420141
27,0.18999999999999997,0.3499039999999998,0.1416302621806506
28,0.20999999999999996,0.2321479999999997,0.1595748376848642
