,HI,CR
0,0.33880064,5.201484e-07
1,0.18768351,2.8773934e-07
2,0.23397206,3.559615e-07
3,0.12006982,1.8318678e-07
4,0.13982002,2.131532e-07
5,0.18924285,2.8889806e-07
6,0.21203789,3.220647e-07
7,0.07298229,1.10591444e-07
8,0.13153489,1.9958591e-07
9,0.06846099,1.0409803e-07
10,0.021750227,3.2869057e-08
11,0.3420408,5.233782e-07
12,0.033842653,5.1612346e-08
13,0.23092505,3.4900933e-07
14,0.049891107,7.599108e-08
15,0.27080777,4.1020974e-07
16,0.06121547,9.2258034e-08
17,0.12177878,1.8592647e-07
18,0.16791114,2.5508223e-07
19,0.1141921,1.7410717e-07
20,0.27056924,4.1464807e-07
21,0.08027924,1.2179439e-07
22,0.01965594,2.9854185e-08
23,0.10156006,1.5488024e-07
24,0.31408736,4.816132e-07
25,0.24870175,3.8159263e-07
26,0.13523284,2.0642852e-07
27,0.20196824,3.0781098e-07
28,0.031208662,4.7061672e-08
29,0.22626953,3.4659652e-07
30,0.06643442,1.00646474e-07
31,0.056492,8.652065e-08
32,0.15892176,2.4061893e-07
33,0.21651252,3.3040345e-07
34,0.14729741,2.2241439e-07
35,0.09382216,1.4272018e-07
36,0.18688133,2.8267664e-07
37,0.13593243,2.0767034e-07
38,0.29560417,4.5329801e-07
39,0.112928584,1.7297525e-07
40,0.05360525,8.0850754e-08
41,0.1716139,2.6129442e-07
42,0.1867032,2.844619e-07
43,0.026011953,3.959272e-08
44,0.21111143,3.2335748e-07
45,0.09080119,1.3780328e-07
46,0.05660649,8.555254e-08
47,0.083054796,1.2716949e-07
48,0.21590532,3.2898765e-07
49,0.15887108,2.432255e-07
50,0.2606412,3.9588738e-07
51,0.23771851,3.606347e-07
52,0.04461225,6.8434055e-08
53,0.10338404,1.5516625e-07
54,0.13785054,2.1069611e-07
55,0.13778345,2.1161287e-07
56,0.29084146,4.4655556e-07
57,0.22449775,3.438604e-07
58,0.2506406,3.8062217e-07
59,0.066271335,1.0071386e-07
60,0.12851824,1.9625902e-07
61,0.063152954,9.488142e-08
62,0.18496358,2.8483348e-07
63,0.042363107,6.445644e-08
64,0.20305139,3.1078935e-07
65,0.24548386,3.7494425e-07
66,0.13835691,2.1205206e-07
