,HI,CR
0,0.32005915,4.8711917e-07
1,0.21590582,3.2808512e-07
2,0.26689517,4.0718996e-07
3,0.13545732,2.0576394e-07
4,0.15567762,2.3537089e-07
5,0.23203203,3.538616e-07
6,0.25877485,3.9603418e-07
7,0.07175778,1.07583354e-07
8,0.13240302,1.9850762e-07
9,0.09651792,1.4470739e-07
10,0.043069113,6.4612315e-08
11,0.35021213,5.3382644e-07
12,0.049412668,7.344144e-08
13,0.3533566,5.3913976e-07
14,0.054683693,8.116977e-08
15,0.28226322,4.2694742e-07
16,0.084265076,1.2548355e-07
17,0.12803063,1.93561e-07
18,0.22382386,3.376336e-07
19,0.12403539,1.8813716e-07
20,0.20406997,3.0617312e-07
21,0.09641362,1.4371346e-07
22,0.024424188,3.630457e-08
23,0.16089585,2.4443048e-07
24,0.35711968,5.442188e-07
25,0.2536299,3.883656e-07
26,0.1412682,2.1295673e-07
27,0.19314776,2.9302163e-07
28,0.04185412,6.2368244e-08
29,0.19936001,3.0393664e-07
30,0.11339123,1.7213145e-07
31,0.07835912,1.1740096e-07
32,0.22189142,3.3432062e-07
33,0.20934626,3.154845e-07
34,0.18482015,2.817838e-07
35,0.124278754,1.8819058e-07
36,0.27714276,4.2139888e-07
37,0.19176313,2.929816e-07
38,0.30046967,4.5640496e-07
39,0.122917704,1.858798e-07
40,0.06947152,1.0439405e-07
41,0.2071376,3.154405e-07
42,0.14641781,2.2072531e-07
43,0.035060424,5.2435098e-08
44,0.21864696,3.3346808e-07
45,0.114235766,1.7334185e-07
46,0.07407185,1.1088682e-07
47,0.11431044,1.7406197e-07
48,0.24872093,3.8038667e-07
49,0.14988568,2.2633196e-07
50,0.39543888,6.061935e-07
51,0.19889764,2.9730484e-07
52,0.07262582,1.0952378e-07
53,0.10302744,1.5239367e-07
54,0.12862134,1.9404814e-07
55,0.1304407,1.9792284e-07
56,0.4132794,6.3271057e-07
57,0.22785382,3.4456718e-07
58,0.27245158,4.131657e-07
59,0.088017896,1.3147417e-07
60,0.16591573,2.5139502e-07
61,0.08449287,1.2638904e-07
62,0.1124813,1.682323e-07
63,0.055134382,8.3158326e-08
64,0.17585824,2.681335e-07
65,0.2224729,3.3648396e-07
66,0.14509524,2.2219939e-07
67,0.065860584,9.783741e-08
68,0.055957466,8.451774e-08
69,0.19252554,2.9245334e-07
70,0.18558381,2.8374643e-07
71,0.38291943,5.8446517e-07
72,0.22186351,3.3818196e-07
73,0.23751834,3.5883946e-07
74,0.16471758,2.5140503e-07
75,0.2430411,3.698987e-07
76,0.14249256,2.1652895e-07
77,0.06555572,9.7481816e-08
78,0.02558049,3.8107558e-08
79,0.35943967,5.482386e-07
80,0.27044794,4.0989192e-07
81,0.093624696,1.4150007e-07
82,0.16903788,2.5918203e-07
83,0.27919015,4.2259197e-07
84,0.09558362,1.4617467e-07
85,0.23936519,3.6332116e-07
86,0.05687665,8.5772555e-08
87,0.0310903,4.6662905e-08
88,0.3049535,4.650689e-07
89,0.2345977,3.576631e-07
90,0.27061284,4.0624627e-07
91,0.08503551,1.2812184e-07
92,0.35121915,5.394723e-07
93,0.03488716,5.233693e-08
94,0.15680404,2.3668939e-07
95,0.050045714,7.569463e-08
96,0.14745694,2.1965144e-07
97,0.15291059,2.337006e-07
98,0.12290111,1.8683463e-07
99,0.24294876,3.6872203e-07
100,0.2251339,3.426581e-07
101,0.08758538,1.3195277e-07
102,0.035047736,5.2873034e-08
103,0.13871637,2.1016663e-07
104,0.15057385,2.2397191e-07
105,0.24834658,3.7645606e-07
106,0.06826157,1.03021314e-07
107,0.1926598,2.9301927e-07
108,0.08906229,1.334265e-07
109,0.07261616,1.0923139e-07
110,0.09506453,1.4298269e-07
111,0.06284276,9.577871e-08
112,0.10517026,1.5862213e-07
113,0.2505626,3.8204428e-07
114,0.05758658,8.6236064e-08
115,0.08937252,1.3353707e-07
116,0.13184202,1.9807558e-07
117,0.12813574,1.9291754e-07
118,0.22207727,3.3660172e-07
119,0.1383284,2.087252e-07
120,0.15060109,2.2746777e-07
121,0.08035961,1.2033743e-07
122,0.2227732,3.386466e-07
123,0.074320786,1.1023176e-07
124,0.1352251,2.0443534e-07
125,0.14438026,2.1759297e-07
126,0.1882771,2.8348364e-07
127,0.21548025,3.2338733e-07
128,0.041973893,6.286805e-08
129,0.14806043,2.2516448e-07
130,0.1319941,2.004378e-07
131,0.2891676,4.4253704e-07
132,0.13771315,2.0874248e-07
133,0.056396373,8.501104e-08
134,0.060653232,9.118777e-08
