,HI,CR
0,0.19878697,2.9735185e-07
1,0.39658174,5.8881267e-07
2,0.3027555,4.4868594e-07
3,0.3070364,4.6168586e-07
4,0.33205315,4.91018e-07
5,0.29982737,4.4723464e-07
6,0.26568857,3.9461852e-07
7,0.45048353,6.765272e-07
8,0.42107162,6.246853e-07
9,0.058592673,8.7566214e-08
10,0.32955864,4.930079e-07
11,0.20537004,3.0479967e-07
12,0.33222938,4.9551045e-07
13,0.36530924,5.4317974e-07
14,0.081287436,1.2216876e-07
15,0.28815895,4.2907803e-07
16,0.3848655,5.759129e-07
17,0.10851868,1.6305711e-07
18,0.46601713,7.0084735e-07
19,0.38689142,5.79859e-07
20,0.3430781,5.0989973e-07
21,0.28457257,4.2514424e-07
22,0.4281947,6.421136e-07
23,0.3202087,4.767574e-07
24,0.34967816,5.197099e-07
25,0.4864009,7.2056764e-07
26,0.35673532,5.376643e-07
27,0.22745681,3.3909694e-07
28,0.2911733,4.343143e-07
29,0.28781652,4.2955946e-07
30,0.22507899,3.3557092e-07
31,0.36477393,5.4223807e-07
32,0.2505231,3.748561e-07
33,0.33285606,4.9432646e-07
34,0.41365516,6.229077e-07
35,0.30518994,4.563179e-07
36,0.39085433,5.795648e-07
37,0.18583588,2.7625072e-07
38,0.38429478,5.7299223e-07
39,0.11382601,1.6926182e-07
40,0.18892556,2.815826e-07
41,0.13810213,2.0603304e-07
42,0.3803873,5.710128e-07
43,0.241979,3.5962762e-07
44,0.3467483,5.155475e-07
45,0.09784628,1.4730513e-07
46,0.38854134,5.814315e-07
47,0.3421882,5.1262634e-07
48,0.24466681,3.6547868e-07
49,0.41603887,6.218076e-07
50,0.42341554,6.287913e-07
51,0.32224625,4.7830446e-07
52,0.38982186,5.861184e-07
53,0.37157893,5.5378507e-07
54,0.42428163,6.3036583e-07
55,0.16899759,2.5156672e-07
56,0.27466646,4.099312e-07
57,0.37896702,5.6455156e-07
58,0.4551195,6.856886e-07
59,0.3077966,4.5937813e-07
60,0.39921126,5.944435e-07
61,0.34974775,5.19644e-07
62,0.34505105,5.1264647e-07
63,0.22909255,3.411296e-07
64,0.26908797,4.0008584e-07
65,0.40263328,6.0184243e-07
66,0.14596362,2.1793221e-07
67,0.21827677,3.2421067e-07
68,0.44287694,6.6439657e-07
69,0.32407334,4.8476204e-07
70,0.35537174,5.307668e-07
71,0.37322563,5.566656e-07
72,0.41701347,6.248503e-07
73,0.39466769,5.8972535e-07
74,0.3656015,5.476582e-07
75,0.3727637,5.5864723e-07
76,0.2854583,4.3053564e-07
77,0.22941506,3.425602e-07
78,0.37684008,5.6234046e-07
79,0.41725233,6.2313325e-07
80,0.21875364,3.2750688e-07
81,0.42524913,6.369489e-07
82,0.28230143,4.2396096e-07
83,0.02427004,3.601305e-08
84,0.3133642,4.695083e-07
85,0.29809287,4.44536e-07
86,0.43066287,6.449958e-07
87,0.33275074,4.9627624e-07
88,0.29838565,4.4571792e-07
89,0.4147397,6.205042e-07
90,0.3531292,5.266032e-07
91,0.33884645,5.0294176e-07
92,0.20346966,3.0676614e-07
93,0.3520488,5.2289295e-07
