,HI,CR
0,0.3985073,5.958909e-07
1,0.26281026,3.940778e-07
2,0.3586735,5.3511343e-07
3,0.18722911,2.787767e-07
4,0.23802507,3.561193e-07
5,0.27924764,4.1632327e-07
6,0.3581608,5.3609006e-07
7,0.13248424,1.9832865e-07
8,0.2288195,3.4184825e-07
9,0.13206711,1.9891561e-07
10,0.058118552,8.789625e-08
11,0.46521372,6.960726e-07
12,0.07113272,1.0741355e-07
13,0.3972836,5.939219e-07
14,0.097871274,1.4765294e-07
15,0.43794352,6.544565e-07
16,0.13676117,2.0470084e-07
17,0.18639098,2.777992e-07
18,0.28978804,4.3024778e-07
19,0.16006006,2.3869273e-07
20,0.35385323,5.2746395e-07
21,0.17487252,2.6172472e-07
22,0.043945674,6.611493e-08
23,0.1826329,2.730879e-07
24,0.41983005,6.2763667e-07
25,0.29403245,4.3720917e-07
26,0.21835905,3.2645144e-07
27,0.29222694,4.3792627e-07
28,0.071406975,1.07071294e-07
29,0.27173075,4.0663107e-07
30,0.13679112,2.0489567e-07
31,0.10407255,1.5708302e-07
32,0.31888217,4.76734e-07
33,0.33337796,4.962692e-07
34,0.24706204,3.6825705e-07
35,0.17677698,2.6601472e-07
36,0.36649153,5.427197e-07
37,0.2165939,3.2407323e-07
38,0.3840333,5.7414525e-07
39,0.1742715,2.6289968e-07
40,0.1102463,1.6392897e-07
41,0.24214713,3.609035e-07
42,0.25070593,3.7276865e-07
43,0.055946916,8.38453e-08
44,0.29105547,4.339323e-07
45,0.16068383,2.398942e-07
46,0.12015483,1.804335e-07
47,0.12980793,1.944602e-07
48,0.32449692,4.8576146e-07
49,0.23569138,3.5238477e-07
50,0.4354277,6.4675476e-07
51,0.41120675,6.1271294e-07
52,0.089155205,1.3489232e-07
53,0.1752862,2.5432544e-07
54,0.20058382,2.9900892e-07
55,0.16689783,2.4937154e-07
56,0.4207422,6.2789115e-07
57,0.33838388,5.089151e-07
58,0.41851372,6.2487203e-07
59,0.11801112,1.7609628e-07
60,0.21035393,3.1444063e-07
61,0.12562442,1.8708428e-07
62,0.21503116,3.205176e-07
63,0.071788415,1.07378135e-07
64,0.26481745,3.970423e-07
65,0.33363795,4.9792914e-07
66,0.16062185,2.388882e-07
67,0.11500358,1.7178306e-07
68,0.0862898,1.295771e-07
69,0.2665001,3.995621e-07
70,0.20584191,3.0536444e-07
71,0.4844389,7.1532975e-07
72,0.3580643,5.349984e-07
73,0.3136044,4.667497e-07
74,0.24146587,3.6066876e-07
75,0.25182122,3.7716737e-07
76,0.19800028,2.9601847e-07
77,0.12094044,1.8207328e-07
78,0.036878668,5.579431e-08
79,0.43135363,6.469936e-07
80,0.37346518,5.598147e-07
81,0.14183457,2.1280657e-07
82,0.18380825,2.7434123e-07
83,0.3889873,5.824888e-07
84,0.11944836,1.7931706e-07
85,0.33353832,4.947758e-07
86,0.09242025,1.3791482e-07
87,0.043831725,6.600449e-08
88,0.33596325,5.0143694e-07
89,0.30302376,4.5256544e-07
90,0.476342,7.0531325e-07
91,0.13331032,1.9992507e-07
92,0.36959806,5.5013686e-07
93,0.053170454,7.961249e-08
94,0.21902278,3.299132e-07
95,0.057894766,8.7827104e-08
96,0.25994557,3.8608334e-07
97,0.15276906,2.2885149e-07
98,0.16972189,2.5367652e-07
99,0.32207662,4.803828e-07
100,0.29099703,4.365883e-07
101,0.13023129,1.9450441e-07
102,0.050096445,7.52906e-08
103,0.14342503,2.1648555e-07
104,0.2931766,4.392819e-07
105,0.3277646,4.8952245e-07
106,0.10334308,1.5280537e-07
107,0.27599552,4.1373735e-07
108,0.118551046,1.7940447e-07
109,0.11206692,1.6704043e-07
110,0.1422142,2.1208305e-07
111,0.08612699,1.2950714e-07
112,0.16197291,2.4323282e-07
113,0.34401327,5.1363503e-07
114,0.08759586,1.315631e-07
115,0.14206897,2.0972247e-07
116,0.18698381,2.817604e-07
117,0.19933729,2.9918397e-07
118,0.32401937,4.844607e-07
119,0.193069,2.8728178e-07
120,0.26553568,3.982856e-07
121,0.13915788,2.098045e-07
122,0.32838476,4.9069996e-07
123,0.12940837,1.9402923e-07
124,0.20268619,3.03168e-07
125,0.22294256,3.3418058e-07
126,0.29409567,4.398419e-07
127,0.36110598,5.3772663e-07
128,0.06458442,9.66108e-08
129,0.16843766,2.5226646e-07
130,0.16842514,2.519186e-07
131,0.3082133,4.6168077e-07
132,0.18000008,2.691553e-07
133,0.08345155,1.248321e-07
134,0.103712425,1.5563158e-07
135,0.40924975,6.100909e-07
136,0.37867063,5.633393e-07
137,0.25465193,3.8105827e-07
138,0.04445873,6.681504e-08
139,0.28081718,4.1615908e-07
140,0.16554168,2.4854148e-07
141,0.4110496,6.156037e-07
142,0.32833675,4.8838035e-07
143,0.11630449,1.741862e-07
144,0.1489405,2.2561416e-07
145,0.2781447,4.1671905e-07
146,0.379424,5.6584145e-07
147,0.2688558,4.0127028e-07
148,0.41832235,6.2388875e-07
149,0.3409478,5.123724e-07
150,0.07541475,1.1299889e-07
151,0.27117214,4.028812e-07
152,0.03437432,5.1897267e-08
153,0.35552594,5.330736e-07
154,0.39102218,5.860097e-07
155,0.26459536,3.9438004e-07
156,0.25120893,3.7454117e-07
157,0.31701812,4.7207826e-07
158,0.4732384,7.094662e-07
159,0.14449371,2.1614882e-07
160,0.15736999,2.3411508e-07
161,0.054646496,8.253252e-08
162,0.06285645,9.505124e-08
163,0.35813436,5.3687296e-07
164,0.08633737,1.301201e-07
165,0.16257082,2.4591802e-07
166,0.28232256,4.218772e-07
167,0.3979,5.9674335e-07
168,0.39122713,5.7997266e-07
169,0.26424956,3.9312093e-07
170,0.14604,2.196068e-07
171,0.07611166,1.1382708e-07
172,0.21168895,3.171998e-07
173,0.06805994,1.0382769e-07
174,0.18755074,2.7996325e-07
175,0.20805717,3.1125973e-07
176,0.016188389,2.4599437e-08
177,0.32315084,4.848838e-07
178,0.23206751,3.448755e-07
179,0.29490432,4.4147e-07
180,0.12259533,1.8413289e-07
181,0.36430484,5.448402e-07
182,0.40574175,6.0928073e-07
183,0.01572315,2.388702e-08
184,0.063584484,9.566631e-08
185,0.36348674,5.408169e-07
186,0.37716138,5.622091e-07
187,0.07555827,1.12856966e-07
188,0.19843881,2.973461e-07
189,0.3024702,4.4722367e-07
190,0.25010207,3.7615231e-07
191,0.07032978,1.05612905e-07
192,0.42687157,6.3672206e-07
193,0.124718115,1.8553995e-07
194,0.071640395,1.078957e-07
195,0.20569207,3.0991157e-07
196,0.26336846,3.93442e-07
197,0.49375668,7.3499774e-07
198,0.10084721,1.5207839e-07
199,0.28439304,4.2889297e-07
200,0.37076953,5.523169e-07
201,0.37809268,5.6297324e-07
202,0.08679416,1.3085634e-07
203,0.34586552,5.179628e-07
204,0.15493424,2.3236049e-07
205,0.12874572,1.9130229e-07
206,0.4278872,6.3697456e-07
207,0.1542464,2.3026622e-07
208,0.399392,5.9722515e-07
209,0.24966447,3.7139353e-07
210,0.19005086,2.8527975e-07
211,0.2903576,4.3231444e-07
212,0.10395638,1.5590938e-07
213,0.24626529,3.6742995e-07
214,0.13518143,2.0115961e-07
215,0.21166414,3.1955614e-07
216,0.20353848,3.037936e-07
217,0.23761146,3.5446487e-07
218,0.2927237,4.3590433e-07
219,0.30143535,4.5103766e-07
220,0.07114618,1.0678018e-07
221,0.4163115,6.244541e-07
222,0.29701033,4.4358504e-07
223,0.34773162,5.19712e-07
224,0.0794708,1.1998598e-07
225,0.3396425,5.083817e-07
226,0.18726109,2.8019076e-07
227,0.23031886,3.4425406e-07
228,0.13393192,2.0119276e-07
229,0.08418243,1.2698169e-07
230,0.39626938,5.936354e-07
231,0.25512663,3.813939e-07
232,0.17445928,2.613744e-07
233,0.11783128,1.7683513e-07
234,0.22621201,3.4009207e-07
235,0.3226941,4.8016506e-07
236,0.058765437,8.871379e-08
237,0.17961986,2.673538e-07
238,0.13056906,1.9662633e-07
239,0.042584762,6.3959305e-08
240,0.27325302,4.0864336e-07
241,0.32815298,4.8981235e-07
242,0.15292321,2.3025385e-07
243,0.43332317,6.477703e-07
244,0.0201958,3.0575034e-08
245,0.32190537,4.79125e-07
246,0.13337904,1.9888547e-07
247,0.3141054,4.681844e-07
248,0.26130527,3.8881308e-07
249,0.45503604,6.8095255e-07
250,0.18343571,2.7469343e-07
251,0.39541978,5.944367e-07
252,0.051652852,7.773244e-08
253,0.100861534,1.5172465e-07
254,0.18721098,2.7886534e-07
255,0.18282497,2.7242112e-07
256,0.14054132,2.1055642e-07
257,0.06375547,9.58447e-08
258,0.18569188,2.7711891e-07
259,0.36935225,5.54305e-07
260,0.26657915,3.9821427e-07
261,0.14113511,2.0953634e-07
262,0.09190018,1.3986198e-07
263,0.29253978,4.4057202e-07
264,0.41069373,6.125709e-07
265,0.09486805,1.4272656e-07
266,0.27218726,4.093281e-07
267,0.12075083,1.8224846e-07
268,0.21193424,3.1523288e-07
269,0.18721077,2.8055146e-07
270,0.109952405,1.6437731e-07
271,0.08919428,1.3558001e-07
272,0.19330241,2.8920107e-07
273,0.27964967,4.1783824e-07
274,0.3790217,5.6537385e-07
275,0.023606401,3.5502996e-08
276,0.131174,1.9512109e-07
277,0.19631551,2.9305713e-07
278,0.32582474,4.901327e-07
279,0.33364537,4.97795e-07
280,0.29026026,4.3210107e-07
281,0.18148726,2.7158535e-07
282,0.30255818,4.5238787e-07
283,0.31909522,4.760007e-07
284,0.1738319,2.579484e-07
285,0.3564874,5.34075e-07
286,0.39665028,5.9430585e-07
287,0.51046574,7.6446395e-07
288,0.16298227,2.455813e-07
289,0.27337286,4.0847755e-07
290,0.1667197,2.5074291e-07
291,0.13429826,2.0078927e-07
292,0.3467769,5.1879897e-07
293,0.05843608,8.805682e-08
294,0.23166582,3.468307e-07
295,0.13077238,1.9791874e-07
296,0.090745926,1.3669236e-07
297,0.14727183,2.2084043e-07
298,0.36852023,5.501606e-07
299,0.053024326,8.026896e-08
300,0.31434187,4.6898495e-07
301,0.16951782,2.523804e-07
302,0.19507848,2.9262083e-07
303,0.29300812,4.3628935e-07
304,0.29854947,4.4834874e-07
305,0.26465338,3.9547362e-07
306,0.40384275,6.0168276e-07
307,0.2060939,3.102458e-07
308,0.24516253,3.6687896e-07
309,0.2898133,4.3242832e-07
310,0.15380235,2.3104718e-07
311,0.3699357,5.514509e-07
312,0.36991405,5.5261506e-07
313,0.30103272,4.4810727e-07
314,0.15842265,2.3730085e-07
315,0.45223826,6.750789e-07
316,0.27190134,4.0520897e-07
317,0.37385586,5.5643994e-07
318,0.37381124,5.592075e-07
319,0.3876874,5.802119e-07
320,0.35114092,5.233445e-07
321,0.045376208,6.901122e-08
322,0.22177391,3.324098e-07
323,0.30649504,4.5777628e-07
324,0.3052707,4.5794687e-07
325,0.14083335,2.0943298e-07
326,0.07420016,1.107636e-07
327,0.1934211,2.87888e-07
328,0.21828483,3.2734468e-07
329,0.2293963,3.4077888e-07
330,0.30237767,4.504935e-07
331,0.19360404,2.9052575e-07
332,0.28605938,4.2838624e-07
333,0.13681884,2.0436313e-07
334,0.15087184,2.2470543e-07
335,0.10535664,1.587949e-07
336,0.36652666,5.504271e-07
