,HI,CR
0,0.34463233,5.1021595e-07
1,0.25524497,3.8331015e-07
2,0.34646687,5.1824924e-07
3,0.1823129,2.7129846e-07
4,0.20744471,3.109642e-07
5,0.25475276,3.7986172e-07
6,0.32291704,4.8257886e-07
7,0.115402326,1.7104642e-07
8,0.22301291,3.33399e-07
9,0.13982132,2.1085836e-07
10,0.052431777,7.9320806e-08
11,0.42710435,6.3728913e-07
12,0.07246999,1.1025774e-07
13,0.35658917,5.312101e-07
14,0.09306334,1.4040366e-07
15,0.4136481,6.189413e-07
16,0.1282795,1.9125e-07
17,0.175667,2.629724e-07
18,0.28582045,4.2641616e-07
19,0.15589331,2.325633e-07
20,0.3577305,5.359061e-07
21,0.1465621,2.1916121e-07
22,0.04010892,6.014567e-08
23,0.17876355,2.6983327e-07
24,0.4086152,6.100586e-07
25,0.27721316,4.1452503e-07
26,0.20997424,3.1597295e-07
27,0.2519566,3.7511984e-07
28,0.07102279,1.0671176e-07
29,0.24114184,3.5827512e-07
30,0.13108212,1.963945e-07
31,0.100357614,1.516114e-07
32,0.3122728,4.6887948e-07
33,0.31636652,4.7170212e-07
34,0.23781198,3.5657135e-07
35,0.15963545,2.3886628e-07
36,0.33342132,4.960299e-07
37,0.19716813,2.9492557e-07
38,0.35853982,5.3343143e-07
39,0.1644579,2.4642205e-07
40,0.09938224,1.4623447e-07
41,0.22556056,3.3536952e-07
42,0.25226715,3.7518288e-07
43,0.052389663,7.8734466e-08
44,0.2785226,4.1506172e-07
45,0.15393145,2.2987851e-07
46,0.11187476,1.6780321e-07
47,0.118867345,1.7843182e-07
48,0.2805277,4.1949195e-07
49,0.21329397,3.1855873e-07
50,0.43113056,6.4540274e-07
51,0.3732147,5.5695716e-07
52,0.08478638,1.2844795e-07
53,0.19949013,2.974276e-07
54,0.1931517,2.8858457e-07
55,0.16205306,2.419505e-07
56,0.39185596,5.839551e-07
57,0.29865965,4.4658645e-07
58,0.38991714,5.814248e-07
59,0.12231025,1.849188e-07
60,0.20117933,3.010004e-07
61,0.12187553,1.8075265e-07
62,0.19987138,2.9924433e-07
63,0.06737413,1.00838285e-07
64,0.25346866,3.797892e-07
65,0.30328858,4.5341295e-07
66,0.15133104,2.2518154e-07
67,0.09917802,1.4815097e-07
68,0.07730231,1.1615556e-07
69,0.22118616,3.2926107e-07
70,0.19919048,2.9801777e-07
71,0.43132237,6.3709547e-07
72,0.32153824,4.776189e-07
73,0.28864318,4.3008066e-07
74,0.24842677,3.7099514e-07
75,0.23987272,3.6098774e-07
76,0.1837098,2.7476224e-07
77,0.10332594,1.5520519e-07
78,0.03530414,5.3462106e-08
79,0.39968732,5.97436e-07
80,0.32342514,4.823765e-07
81,0.1292022,1.930162e-07
82,0.17811753,2.6555148e-07
83,0.36496714,5.466597e-07
84,0.11038635,1.6410559e-07
85,0.29617962,4.4218794e-07
86,0.08447543,1.2576614e-07
87,0.04108143,6.178454e-08
88,0.32860786,4.887458e-07
89,0.2844133,4.2305194e-07
90,0.4259494,6.320946e-07
91,0.11388366,1.699901e-07
92,0.32605296,4.866535e-07
93,0.047461938,7.127168e-08
94,0.20075561,3.0182707e-07
95,0.053296912,8.09758e-08
96,0.21873769,3.222097e-07
97,0.15473369,2.3219434e-07
98,0.16100092,2.404963e-07
99,0.31387794,4.6745188e-07
100,0.25651073,3.819114e-07
101,0.12555493,1.8828679e-07
102,0.0469633,7.067604e-08
103,0.1303022,1.9633906e-07
104,0.26560467,3.971778e-07
105,0.3108672,4.646934e-07
106,0.09847238,1.4726722e-07
107,0.25434396,3.8054782e-07
108,0.11663312,1.7622486e-07
109,0.090985015,1.3590181e-07
110,0.13087831,1.9661258e-07
111,0.07726284,1.15070186e-07
112,0.14257644,2.1197711e-07
113,0.32582235,4.878708e-07
114,0.07932362,1.1965375e-07
115,0.14173114,2.1073056e-07
116,0.17056978,2.556373e-07
117,0.17409945,2.5691787e-07
118,0.29255155,4.3727272e-07
119,0.18789034,2.8165616e-07
120,0.2445515,3.64753e-07
121,0.12343552,1.850219e-07
122,0.30187216,4.510422e-07
123,0.13135406,1.9816027e-07
124,0.1857869,2.774407e-07
125,0.19570667,2.9198168e-07
126,0.28805682,4.3162504e-07
127,0.3409246,5.104552e-07
128,0.063300826,9.563303e-08
129,0.17092635,2.5594716e-07
130,0.16346252,2.4391417e-07
131,0.28248468,4.216822e-07
132,0.17527814,2.627239e-07
133,0.07909482,1.18323356e-07
134,0.09405315,1.4079852e-07
135,0.3897125,5.8451036e-07
136,0.38884792,5.8054695e-07
137,0.23892787,3.562924e-07
138,0.043514267,6.528618e-08
139,0.27284727,4.070423e-07
140,0.14494848,2.1697075e-07
141,0.4017153,6.0196874e-07
142,0.3113964,4.6289597e-07
143,0.111300595,1.6664842e-07
144,0.13847257,2.0949146e-07
145,0.2594988,3.8806826e-07
146,0.37290123,5.5909214e-07
147,0.26911578,4.0348786e-07
148,0.36818603,5.5100685e-07
149,0.30374417,4.5169315e-07
150,0.06912898,1.0366552e-07
151,0.2572042,3.8321986e-07
152,0.031422887,4.7271346e-08
153,0.33385834,4.9893004e-07
154,0.35376936,5.298052e-07
155,0.23506255,3.513161e-07
156,0.23637044,3.5378963e-07
157,0.28599614,4.2467101e-07
158,0.43645185,6.474467e-07
159,0.14136697,2.1056445e-07
160,0.14830464,2.2172937e-07
