,HI,CR
0,0.37517256,5.584999e-07
1,0.26284698,3.9284916e-07
2,0.35853505,5.3536365e-07
3,0.18283135,2.7242314e-07
4,0.20320569,3.0227142e-07
5,0.2674781,3.9812514e-07
6,0.3632225,5.475908e-07
7,0.12992479,1.966375e-07
8,0.21366452,3.1950916e-07
9,0.11618597,1.7455122e-07
10,0.04328422,6.416151e-08
11,0.44583648,6.647484e-07
12,0.061995994,9.335723e-08
13,0.37096518,5.5483315e-07
14,0.082148135,1.239224e-07
15,0.43629205,6.49268e-07
16,0.124426894,1.8763942e-07
17,0.16593291,2.4832013e-07
18,0.29251757,4.3538012e-07
19,0.1610423,2.4234686e-07
20,0.3343511,4.9822995e-07
21,0.15398796,2.320624e-07
22,0.028549347,4.269453e-08
23,0.16365848,2.4431176e-07
24,0.42981976,6.430852e-07
25,0.30673623,4.5926868e-07
26,0.20002165,2.9980663e-07
27,0.2598261,3.8712508e-07
28,0.069046654,1.0415661e-07
29,0.26650888,3.9648077e-07
30,0.12980083,1.9386302e-07
31,0.07899974,1.17652874e-07
32,0.31609437,4.7369156e-07
33,0.32074383,4.801076e-07
34,0.26315513,3.9218168e-07
35,0.16040869,2.4064423e-07
36,0.3470335,5.180085e-07
37,0.18740174,2.8099217e-07
38,0.39027846,5.8208366e-07
39,0.16784605,2.505726e-07
40,0.0817667,1.2113516e-07
41,0.21712236,3.2262795e-07
42,0.25604632,3.822808e-07
43,0.04938643,7.43253e-08
44,0.27245402,4.0556796e-07
45,0.12545975,1.862575e-07
46,0.07317486,1.0737605e-07
47,0.12867767,1.9261054e-07
48,0.29505092,4.41987e-07
49,0.24083991,3.608044e-07
50,0.39749813,5.932499e-07
51,0.37670285,5.5975613e-07
52,0.066869296,1.00079966e-07
53,0.15950789,2.3726092e-07
54,0.17968753,2.684272e-07
55,0.16489325,2.4555823e-07
56,0.41654176,6.229723e-07
57,0.31733593,4.738471e-07
58,0.40240777,6.0361947e-07
59,0.09108874,1.3590562e-07
60,0.210859,3.1620704e-07
61,0.12990712,1.9542925e-07
62,0.21462339,3.2119792e-07
63,0.061283465,9.079364e-08
64,0.28036267,4.211219e-07
65,0.3158892,4.7319514e-07
66,0.15564997,2.306113e-07
67,0.08964399,1.3315817e-07
68,0.074305974,1.1128374e-07
69,0.24269383,3.6587298e-07
70,0.21473388,3.1927368e-07
71,0.43514606,6.479074e-07
72,0.32144722,4.7581239e-07
