,HI,CR
0,0.17038201,2.5517963e-07
1,0.37527978,5.5804543e-07
2,0.3180604,4.7396915e-07
3,0.27676395,4.1525206e-07
4,0.29568988,4.411606e-07
5,0.2770307,4.153259e-07
6,0.24263301,3.6277606e-07
7,0.45183823,6.7769656e-07
8,0.3978681,5.910459e-07
9,0.05707325,8.555273e-08
10,0.30830854,4.6152482e-07
11,0.20952128,3.122874e-07
12,0.3186641,4.736337e-07
13,0.363167,5.400563e-07
14,0.07808328,1.1642615e-07
15,0.25216046,3.7976815e-07
16,0.28562284,4.251204e-07
17,0.10127051,1.5137933e-07
18,0.41569456,6.215799e-07
19,0.3653899,5.462921e-07
20,0.33359465,4.955222e-07
21,0.28552535,4.256272e-07
22,0.40024805,5.973348e-07
23,0.30803695,4.5774945e-07
24,0.3497496,5.1804545e-07
25,0.4337022,6.4436585e-07
26,0.3174588,4.7154938e-07
27,0.20899655,3.1056902e-07
28,0.27673006,4.0944505e-07
29,0.29463685,4.4125107e-07
30,0.21687138,3.2138215e-07
31,0.32222772,4.8222824e-07
32,0.23843089,3.5859338e-07
33,0.33911625,5.1367897e-07
34,0.37091646,5.55329e-07
35,0.29213145,4.3562488e-07
36,0.3911673,5.880116e-07
37,0.17316341,2.581975e-07
38,0.3567553,5.2675955e-07
39,0.11611735,1.7394599e-07
40,0.17326279,2.5712953e-07
41,0.15081555,2.272305e-07
42,0.34603247,5.190934e-07
43,0.23550725,3.5016396e-07
44,0.32550287,4.8285955e-07
45,0.08965908,1.3359211e-07
46,0.33187416,4.936942e-07
47,0.32015002,4.7833424e-07
48,0.2187219,3.238589e-07
49,0.40699646,6.087897e-07
50,0.3763316,5.6368725e-07
51,0.28985587,4.3198705e-07
52,0.344434,5.1401645e-07
53,0.38319728,5.7433607e-07
54,0.40271342,5.985709e-07
55,0.16503692,2.4417426e-07
56,0.29534605,4.4280168e-07
57,0.34726292,5.2107487e-07
58,0.39924037,5.986946e-07
59,0.27554572,4.1177978e-07
60,0.40089673,5.997207e-07
61,0.3456353,5.1481425e-07
62,0.33569184,4.990689e-07
63,0.22138493,3.289341e-07
64,0.23923936,3.5408615e-07
65,0.37022457,5.554548e-07
66,0.13729581,2.044101e-07
67,0.21095382,3.134677e-07
68,0.44900343,6.70904e-07
69,0.30897897,4.581924e-07
70,0.34775877,5.200895e-07
71,0.3463989,5.182373e-07
72,0.3784871,5.655537e-07
73,0.36920452,5.541098e-07
74,0.3482782,5.203302e-07
75,0.33729652,5.021322e-07
76,0.24029812,3.587203e-07
77,0.20330563,3.0212388e-07
78,0.35613254,5.3226375e-07
79,0.35654622,5.3337436e-07
80,0.19821796,2.9646347e-07
81,0.38593423,5.76351e-07
82,0.2626447,3.924657e-07
83,0.025799813,3.8537642e-08
84,0.32473943,4.874412e-07
85,0.3025572,4.5540017e-07
86,0.42536852,6.3530075e-07
87,0.3179129,4.7370997e-07
88,0.27007598,4.0179472e-07
89,0.37188652,5.529462e-07
90,0.31784558,4.719377e-07
91,0.3384833,5.0420084e-07
92,0.19358414,2.8923233e-07
93,0.31450248,4.6664172e-07
94,0.37332773,5.5734364e-07
95,0.26056355,3.8812706e-07
96,0.20188127,2.9911257e-07
97,0.3394105,5.052286e-07
98,0.3167639,4.7292903e-07
99,0.1597751,2.3904542e-07
100,0.11899242,1.7763733e-07
101,0.28750405,4.3146326e-07
102,0.16856712,2.5059666e-07
103,0.31508335,4.7188553e-07
104,0.3736136,5.583306e-07
105,0.334196,4.930425e-07
106,0.37296787,5.5379525e-07
107,0.41785857,6.236868e-07
108,0.25340676,3.7623244e-07
109,0.12777674,1.9096525e-07
110,0.35794473,5.3800636e-07
111,0.33693957,4.981068e-07
112,0.37124604,5.567079e-07
113,0.3327356,4.9581047e-07
114,0.23358668,3.490874e-07
115,0.40138736,5.9976446e-07
116,0.35016623,5.239878e-07
117,0.37900314,5.710673e-07
118,0.37730962,5.6018206e-07
119,0.33898616,5.0984465e-07
120,0.28985453,4.3492355e-07
121,0.20589723,3.0488934e-07
122,0.3500506,5.235103e-07
123,0.36795783,5.4601026e-07
124,0.043620456,6.5390296e-08
125,0.24779236,3.6767352e-07
126,0.007895711,1.1958803e-08
127,0.335268,4.9593666e-07
128,0.43535808,6.494698e-07
129,0.40985286,6.143366e-07
130,0.36862743,5.4582887e-07
131,0.14647606,2.1640012e-07
132,0.18529026,2.7527358e-07
133,0.32043582,4.7587162e-07
134,0.35082892,5.207538e-07
135,0.3425851,5.118059e-07
136,0.26425108,3.9401354e-07
137,0.19383381,2.8860433e-07
138,0.18845773,2.8302858e-07
139,0.18264976,2.743519e-07
140,0.44498467,6.67787e-07
141,0.31211376,4.6824036e-07
142,0.40041408,5.9826647e-07
143,0.40691027,6.1027947e-07
144,0.3979593,5.955459e-07
145,0.19477913,2.8963052e-07
146,0.28621924,4.2547262e-07
147,0.3810262,5.6721154e-07
148,0.36697736,5.4975e-07
149,0.35507485,5.2784924e-07
150,0.34507495,5.1671617e-07
151,0.3873969,5.752685e-07
152,0.36481038,5.391414e-07
153,0.097840525,1.4592648e-07
154,0.10823056,1.611369e-07
155,0.27064934,4.0639577e-07
156,0.3397578,5.0822615e-07
157,0.4105896,6.120257e-07
158,0.26102024,3.9198125e-07
159,0.26523313,3.9502902e-07
160,0.40723148,6.1244305e-07
161,0.28172782,4.2257562e-07
162,0.019160999,2.873417e-08
163,0.21767715,3.2454224e-07
164,0.24405518,3.627996e-07
165,0.21279936,3.145212e-07
166,0.23567803,3.5175037e-07
167,0.3655005,5.4141765e-07
168,0.3230176,4.8058683e-07
169,0.36008185,5.332421e-07
170,0.36394033,5.4154356e-07
171,0.24819274,3.7231294e-07
172,0.31111738,4.646707e-07
173,0.35675624,5.324953e-07
174,0.40028992,5.9508244e-07
175,0.3736758,5.6088356e-07
176,0.2192858,3.2651545e-07
177,0.27481794,4.107313e-07
178,0.36001492,5.408356e-07
179,0.44347864,6.6544146e-07
180,0.34565702,5.145601e-07
181,0.2047099,3.04479e-07
182,0.31479353,4.6802379e-07
183,0.33661333,5.0033964e-07
184,0.2133017,3.1899785e-07
185,0.12456638,1.8654366e-07
186,0.09196895,1.3755874e-07
187,0.38264504,5.710545e-07
188,0.27234048,4.0102918e-07
189,0.27386817,4.1059755e-07
190,0.24324235,3.638298e-07
191,0.124181315,1.8560611e-07
192,0.3494172,5.2409007e-07
193,0.41690817,6.222564e-07
194,0.30624256,4.5513815e-07
195,0.3120443,4.6366105e-07
196,0.24061228,3.5792442e-07
197,0.3719865,5.510986e-07
198,0.34195587,5.099572e-07
199,0.3136816,4.7016215e-07
200,0.13236831,1.9765459e-07
201,0.31195974,4.6614687e-07
202,0.14363694,2.1495478e-07
203,0.37643516,5.665085e-07
204,0.42130065,6.305683e-07
205,0.2331725,3.4948002e-07
206,0.35309085,5.2242586e-07
207,0.33857828,5.0470504e-07
208,0.39940158,5.99049e-07
209,0.24496652,3.6353538e-07
210,0.32595208,4.856422e-07
211,0.037071686,5.5003696e-08
212,0.2889835,4.2913229e-07
213,0.24672556,3.696593e-07
214,0.28687707,4.287617e-07
215,0.39187297,5.8593554e-07
216,0.3691426,5.5031944e-07
217,0.29535535,4.4361053e-07
218,0.13863099,2.0592954e-07
