,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5663709e-08,9.671923e-09,0.0,6.5794805e-09,3.6303827e-09,7.395603e-09
3,5.1172496e-08,3.2567563e-08,0.0,2.1895003e-08,1.360246e-08,2.4197147e-08
4,9.9159955e-08,6.3731086e-08,0.0,4.311336e-08,2.7186962e-08,4.718053e-08
5,1.5858416e-07,1.02787034e-07,0.0,7.0479985e-08,4.410414e-08,7.6510354e-08
6,2.2937316e-07,1.4871068e-07,0.0,1.0392934e-07,6.492189e-08,1.1257602e-07
7,3.1595678e-07,2.0403488e-07,0.0,1.4396986e-07,8.979197e-08,1.558733e-07
8,4.129461e-07,2.6713553e-07,2.5899644e-11,1.9000602e-07,1.1823484e-07,2.038356e-07
9,5.2081447e-07,3.3632665e-07,5.1793892e-11,2.4092063e-07,1.4945556e-07,2.564774e-07
10,6.403901e-07,4.1176105e-07,7.768275e-11,2.982927e-07,1.8416726e-07,3.1486127e-07
11,7.733759e-07,4.9537977e-07,1.0356621e-10,3.6174984e-07,2.2261001e-07,3.7976176e-07
12,9.18094e-07,5.8763425e-07,1.2944427e-10,4.324369e-07,2.6501195e-07,4.5102001e-07
13,1.0702313e-06,6.848914e-07,1.5531695e-10,5.0691034e-07,3.1041424e-07,5.2641633e-07
14,1.2314661e-06,7.885131e-07,1.8118425e-10,5.8700783e-07,3.5965442e-07,6.0693407e-07
15,1.4056177e-06,8.9994484e-07,2.0704613e-10,6.7340187e-07,4.126282e-07,6.927601e-07
16,1.5956401e-06,1.0224103e-06,2.3290264e-10,7.685336e-07,4.7103958e-07,7.8716033e-07
17,1.7995591e-06,1.1536255e-06,2.5875377e-10,8.7052604e-07,5.340755e-07,8.883789e-07
18,2.0205844e-06,1.2944517e-06,2.936597e-10,9.802371e-07,6.0240046e-07,9.969227e-07
19,2.253013e-06,1.4424483e-06,3.285583e-10,1.0972441e-06,6.7463776e-07,1.1119727e-06
20,2.5035279e-06,1.6021509e-06,3.6344966e-10,1.2233382e-06,7.532856e-07,1.2371055e-06
21,2.7631945e-06,1.7683525e-06,3.9833375e-10,1.3549317e-06,8.3598064e-07,1.3675666e-06
22,3.0354322e-06,1.942267e-06,4.3321055e-10,1.4935583e-06,9.2363814e-07,1.50569e-06
23,3.32553e-06,2.1279232e-06,4.971874e-10,1.6409834e-06,1.016993e-06,1.6527644e-06
24,3.6324018e-06,2.323994e-06,5.6115096e-10,1.7974141e-06,1.1158859e-06,1.8090805e-06
25,3.946793e-06,2.5245195e-06,6.251011e-10,1.958955e-06,1.2180337e-06,1.969737e-06
26,4.2778647e-06,2.7358667e-06,6.8903794e-10,2.130573e-06,1.3259285e-06,2.1398791e-06
27,4.62065e-06,2.953861e-06,7.529615e-10,2.308079e-06,1.4377067e-06,2.3158034e-06
28,4.9771347e-06,3.1827983e-06,8.1687174e-10,2.493961e-06,1.5550164e-06,2.4994542e-06
29,5.3410854e-06,3.4165084e-06,8.807687e-10,2.6850373e-06,1.6760122e-06,2.6872708e-06
30,5.7160737e-06,3.6564059e-06,9.446524e-10,2.883073e-06,1.8013969e-06,2.8804875e-06
31,6.103644e-06,3.9043084e-06,1.0085226e-09,3.0886924e-06,1.9315191e-06,3.0801762e-06
32,6.5011227e-06,4.1578423e-06,1.0723795e-09,3.3005758e-06,2.065774e-06,3.285004e-06
33,6.9096e-06,4.4185936e-06,1.1362232e-09,3.5188875e-06,2.2046554e-06,3.4956415e-06
34,7.326453e-06,4.684784e-06,1.2000536e-09,3.742699e-06,2.34697e-06,3.7105426e-06
35,7.756217e-06,4.9581686e-06,1.2638706e-09,3.9739593e-06,2.4943022e-06,3.9325546e-06
36,8.199094e-06,5.2392284e-06,1.3276745e-09,4.2130505e-06,2.6467137e-06,4.1618096e-06
37,8.660177e-06,5.53139e-06,1.3914649e-09,4.4605017e-06,2.8044217e-06,4.4014014e-06
38,9.131815e-06,5.830675e-06,1.4552423e-09,4.714526e-06,2.9669325e-06,4.6472705e-06
39,9.610864e-06,6.134832e-06,1.5190063e-09,4.9740497e-06,3.1329791e-06,4.897742e-06
40,1.010294e-05,6.4481824e-06,1.5827569e-09,5.242068e-06,3.3044194e-06,5.1560837e-06
41,1.06069e-05,6.7693995e-06,1.6464943e-09,5.51746e-06,3.4811937e-06,5.421486e-06
42,1.1123966e-05,7.1001714e-06,1.7210335e-09,5.8008627e-06,3.6634042e-06,5.6943654e-06
43,1.1654066e-05,7.440147e-06,1.7955576e-09,6.0925563e-06,3.8520143e-06,5.9752197e-06
44,1.2198008e-05,7.789193e-06,1.8700659e-09,6.3934394e-06,4.0462173e-06,6.263778e-06
45,1.27591775e-05,8.1495455e-06,1.944559e-09,6.704031e-06,4.2469105e-06,6.5612303e-06
46,1.3337481e-05,8.5193515e-06,2.0317963e-09,7.0234983e-06,4.453381e-06,6.867287e-06
