,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,4.541152e-08,2.7390412e-08,0.0,2.0753852e-08,1.2332258e-08,2.370903e-08
3,1.2233077e-07,7.6967474e-08,0.0,5.6005007e-08,3.4197903e-08,6.407049e-08
4,2.3952907e-07,1.542256e-07,1.3315854e-11,1.11257236e-07,6.749518e-08,1.2752561e-07
5,3.9290003e-07,2.5799227e-07,3.634454e-11,1.8492493e-07,1.1119364e-07,2.1086619e-07
6,5.7718205e-07,3.8249252e-07,1.0443832e-10,2.744354e-07,1.6269152e-07,3.1067236e-07
7,8.0426696e-07,5.341537e-07,2.4880317e-10,3.8300917e-07,2.2510244e-07,4.296052e-07
8,1.0628604e-06,7.05789e-07,3.9313794e-10,5.068147e-07,2.9788745e-07,5.6251423e-07
9,1.3672619e-06,9.078707e-07,5.4288546e-10,6.5121225e-07,3.8400515e-07,7.1693404e-07
10,1.7149562e-06,1.1345335e-06,7.247243e-10,8.150042e-07,4.8024214e-07,8.927264e-07
11,2.0924908e-06,1.3793704e-06,1.0680988e-09,9.916728e-07,5.847272e-07,1.0821008e-06
12,2.5056615e-06,1.6493839e-06,1.4624014e-09,1.1861792e-06,6.99802e-07,1.2912217e-06
13,2.9507914e-06,1.9423526e-06,1.856622e-09,1.3969136e-06,8.2349953e-07,1.5181168e-06
14,3.4365423e-06,2.2628801e-06,2.2659867e-09,1.627489e-06,9.593052e-07,1.7660951e-06
15,3.945969e-06,2.5997276e-06,2.7183966e-09,1.8693179e-06,1.1032754e-06,2.0268717e-06
16,4.4831113e-06,2.9562884e-06,3.1977958e-09,2.1250003e-06,1.2558135e-06,2.302084e-06
17,5.054805e-06,3.3351455e-06,3.677094e-09,2.3977516e-06,1.4159426e-06,2.593644e-06
18,5.667675e-06,3.739274e-06,4.174137e-09,2.6897412e-06,1.5848934e-06,2.9054045e-06
19,6.3204193e-06,4.1710687e-06,4.7481383e-09,3.0023111e-06,1.7654387e-06,3.238805e-06
20,7.012459e-06,4.6271393e-06,5.3515183e-09,3.3346162e-06,1.9562713e-06,3.5918508e-06
21,7.742415e-06,5.1067245e-06,5.9547713e-09,3.682572e-06,2.1564535e-06,3.9620563e-06
22,8.507968e-06,5.6106205e-06,6.614007e-09,4.047103e-06,2.3674186e-06,4.351325e-06
23,9.3123035e-06,6.1393266e-06,7.4221345e-09,4.4295416e-06,2.5885502e-06,4.760448e-06
24,1.0153753e-05,6.690792e-06,8.279852e-09,4.830186e-06,2.819796e-06,5.1884153e-06
25,1.10287365e-05,7.26387e-06,9.142291e-09,5.247986e-06,3.0604506e-06,5.6320755e-06
26,1.1943186e-05,7.863072e-06,1.000455e-08,5.682682e-06,3.3117797e-06,6.094824e-06
27,1.2902966e-05,8.492117e-06,1.0894042e-08,6.1389487e-06,3.5749688e-06,6.5797403e-06
28,1.3903636e-05,9.14735e-06,1.1812213e-08,6.613128e-06,3.849307e-06,7.084783e-06
29,1.4947585e-05,9.82905e-06,1.2748923e-08,7.105983e-06,4.1370886e-06,7.609386e-06
30,1.6034626e-05,1.05363015e-05,1.3728011e-08,7.6185115e-06,4.436739e-06,8.154321e-06
31,1.714892e-05,1.1262736e-05,1.4778637e-08,8.1447215e-06,4.7447334e-06,8.714087e-06
32,1.8298366e-05,1.2012272e-05,1.5855148e-08,8.685756e-06,5.0626886e-06,9.292566e-06
33,1.9483483e-05,1.2783751e-05,1.697994e-08,9.243372e-06,5.3908434e-06,9.888486e-06
34,2.0693786e-05,1.3573032e-05,1.8137536e-08,9.812417e-06,5.726842e-06,1.0497423e-05
35,2.1952439e-05,1.4393555e-05,1.932432e-08,1.0404726e-05,6.0752054e-06,1.1131732e-05
36,2.32548e-05,1.524063e-05,2.0582451e-08,1.1015963e-05,6.4350093e-06,1.178827e-05
37,2.4598223e-05,1.6113665e-05,2.19265e-08,1.1645373e-05,6.8072877e-06,1.24649005e-05
38,2.5966126e-05,1.7004502e-05,2.3286795e-08,1.2287221e-05,7.1878126e-06,1.31544575e-05
39,2.737202e-05,1.792062e-05,2.4675549e-08,1.2947978e-05,7.578684e-06,1.3862321e-05
40,2.8823706e-05,1.8866598e-05,2.6112474e-08,1.3630155e-05,7.982937e-06,1.45929e-05
41,3.0308323e-05,1.9834957e-05,2.7563644e-08,1.4328067e-05,8.396715e-06,1.5339907e-05
42,3.1838586e-05,2.0833168e-05,2.9076173e-08,1.5046048e-05,8.824172e-06,1.6109481e-05
43,3.3391847e-05,2.1845106e-05,3.0620022e-08,1.577341e-05,9.258185e-06,1.6889891e-05
44,3.4987643e-05,2.2883507e-05,3.2282085e-08,1.6519707e-05,9.703736e-06,1.76903e-05
45,3.6607413e-05,2.3937377e-05,3.4100907e-08,1.727874e-05,1.0156398e-05,1.850251e-05
46,3.8265924e-05,2.5013942e-05,3.5959022e-08,1.8055736e-05,1.0619137e-05,1.9332902e-05
