,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,5.8490905e-08,5.2238256e-08,0.0,9.9541666e-08,5.1915315e-08,4.429629e-08
3,1.5922804e-07,1.430269e-07,0.0,2.691752e-07,1.3925839e-07,1.209908e-07
4,3.1484737e-07,2.8305712e-07,6.371212e-11,5.312136e-07,2.720843e-07,2.3928348e-07
5,5.216489e-07,4.6895627e-07,1.7254687e-10,8.820963e-07,4.4701753e-07,3.9483453e-07
6,7.687338e-07,6.899907e-07,3.9527195e-10,1.299412e-06,6.56694e-07,5.7989155e-07
7,1.068673e-06,9.591208e-07,7.3293754e-10,1.8065645e-06,9.126414e-07,8.0419306e-07
8,1.4093781e-06,1.2640553e-06,1.1048185e-09,2.3830646e-06,1.2035908e-06,1.0589647e-06
9,1.8088631e-06,1.6213953e-06,1.4812638e-09,3.0625413e-06,1.544233e-06,1.3599761e-06
10,2.2611289e-06,2.026941e-06,1.9113096e-09,3.8320795e-06,1.9295535e-06,1.7015832e-06
11,2.7511671e-06,2.4647848e-06,2.5048277e-09,4.661355e-06,2.3467878e-06,2.0686427e-06
12,3.2905464e-06,2.9458495e-06,3.1021772e-09,5.5748137e-06,2.805709e-06,2.470296e-06
13,3.8746794e-06,3.467294e-06,3.7950105e-09,6.5608324e-06,3.3020603e-06,2.90601e-06
14,4.512691e-06,4.0353416e-06,4.5109205e-09,7.636573e-06,3.845636e-06,3.3822098e-06
15,5.182889e-06,4.6326395e-06,5.2616653e-09,8.771591e-06,4.417564e-06,3.8819544e-06
16,5.8925198e-06,5.2656214e-06,6.1648526e-09,9.970383e-06,5.0222557e-06,4.4121743e-06
17,6.644933e-06,5.9374224e-06,7.07264e-09,1.124515e-05,5.665298e-06,4.9732994e-06
18,7.4491845e-06,6.655398e-06,7.997093e-09,1.2604412e-05,6.3519174e-06,5.5739656e-06
19,8.30932e-06,7.421957e-06,9.093179e-09,1.4055049e-05,7.084642e-06,6.2151685e-06
20,9.219053e-06,8.230825e-06,1.0206537e-08,1.5593332e-05,7.860321e-06,6.891282e-06
21,1.0174189e-05,9.0773865e-06,1.13750565e-08,1.7207132e-05,8.675314e-06,7.600603e-06
22,1.1176639e-05,9.96719e-06,1.2643733e-08,1.8900771e-05,9.533601e-06,8.344932e-06
23,1.2229228e-05,1.0901659e-05,1.41086565e-08,2.0674692e-05,1.0432131e-05,9.1256325e-06
24,1.3329525e-05,1.187566e-05,1.5674614e-08,2.2527418e-05,1.137383e-05,9.940906e-06
25,1.44728465e-05,1.2888862e-05,1.7346897e-08,2.4450024e-05,1.2352875e-05,1.0787578e-05
26,1.5664993e-05,1.3946761e-05,1.902362e-08,2.6455557e-05,1.3373666e-05,1.1672044e-05
27,1.6914835e-05,1.5057857e-05,2.0737923e-08,2.8560775e-05,1.44426e-05,1.2599898e-05
28,1.8216344e-05,1.6215388e-05,2.2511829e-08,3.0754116e-05,1.5555572e-05,1.3564552e-05
29,1.9571578e-05,1.7422779e-05,2.4407294e-08,3.3039374e-05,1.6716527e-05,1.4568402e-05
30,2.0980462e-05,1.8678058e-05,2.6386374e-08,3.541079e-05,1.7925884e-05,1.5614154e-05
31,2.2426533e-05,1.9965377e-05,2.8479702e-08,3.7845854e-05,1.9168163e-05,1.6688135e-05
32,2.3917719e-05,2.1292197e-05,3.0600326e-08,4.0354083e-05,2.0448257e-05,1.7795517e-05
33,2.5453191e-05,2.2659966e-05,3.2751725e-08,4.2938744e-05,2.1765754e-05,1.8937299e-05
34,2.702234e-05,2.4057703e-05,3.502543e-08,4.557849e-05,2.3112108e-05,2.0103831e-05
35,2.8654227e-05,2.5509471e-05,3.7318564e-08,4.832407e-05,2.4512598e-05,2.1318074e-05
36,3.0340398e-05,2.7007422e-05,3.982054e-08,5.1158946e-05,2.595892e-05,2.2572709e-05
37,3.2077438e-05,2.8550448e-05,4.2576552e-08,5.4072796e-05,2.7447457e-05,2.386668e-05
38,3.3847515e-05,3.0121844e-05,4.5411714e-08,5.7038313e-05,2.8965953e-05,2.5185693e-05
39,3.5667454e-05,3.173649e-05,4.855022e-08,6.0085964e-05,3.0528357e-05,2.6543448e-05
40,3.7548172e-05,3.3404456e-05,5.181553e-08,6.323583e-05,3.2141714e-05,2.794632e-05
41,3.9471717e-05,3.510984e-05,5.5128783e-08,6.646166e-05,3.3794306e-05,2.9382556e-05
42,4.145296e-05,3.686647e-05,5.8615306e-08,6.9783775e-05,3.5497796e-05,3.086158e-05
43,4.3463053e-05,3.8648486e-05,6.227861e-08,7.31554e-05,3.7225964e-05,3.2362255e-05
44,4.5525e-05,4.047741e-05,6.633576e-08,7.661421e-05,3.899842e-05,3.390164e-05
45,4.7619716e-05,4.2334792e-05,7.102474e-08,8.0122605e-05,4.0796767e-05,3.5465004e-05
