,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,4.5520338e-08,3.0880052e-08,0.0,2.0735662e-08,1.1806619e-08,2.1985084e-08
3,1.2039384e-07,8.30392e-08,0.0,5.6626902e-08,3.2354592e-08,5.9557973e-08
4,2.352366e-07,1.6310698e-07,1.510196e-11,1.1262896e-07,6.4274104e-08,1.176542e-07
5,3.9054916e-07,2.6974843e-07,6.610445e-11,1.8690677e-07,1.06227446e-07,1.964001e-07
6,5.7809e-07,3.9734036e-07,1.6006779e-10,2.752165e-07,1.5733274e-07,2.9130197e-07
7,8.09021e-07,5.5316434e-07,3.340156e-10,3.8353252e-07,2.2129707e-07,4.0639102e-07
8,1.071962e-06,7.288049e-07,5.079271e-10,5.059485e-07,2.9441466e-07,5.385773e-07
9,1.3828459e-06,9.358155e-07,6.8180245e-10,6.4982265e-07,3.7993095e-07,6.946167e-07
10,1.7358752e-06,1.1697903e-06,8.556415e-10,8.129085e-07,4.779669e-07,8.7056793e-07
11,2.1169562e-06,1.4228831e-06,1.0685901e-09,9.89591e-07,5.845735e-07,1.0612391e-06
12,2.5330437e-06,1.7012533e-06,1.3354507e-09,1.1834976e-06,7.024244e-07,1.2692842e-06
13,2.982901e-06,2.0037905e-06,1.6310318e-09,1.3946711e-06,8.3074195e-07,1.4950738e-06
14,3.473273e-06,2.3348318e-06,1.9460973e-09,1.6254514e-06,9.718312e-07,1.7433521e-06
15,3.987423e-06,2.6837497e-06,2.2610973e-09,1.868072e-06,1.1210763e-06,2.0036448e-06
16,4.5319907e-06,3.0538906e-06,2.5891438e-09,2.1249684e-06,1.2786215e-06,2.2784607e-06
17,5.111523e-06,3.4466966e-06,2.9171228e-09,2.3977175e-06,1.4460041e-06,2.5688094e-06
18,5.7340594e-06,3.86437e-06,3.2476957e-09,2.6899909e-06,1.6251535e-06,2.879782e-06
19,6.398877e-06,4.3094924e-06,3.6684091e-09,3.0029935e-06,1.8161882e-06,3.2114763e-06
20,7.099879e-06,4.78046e-06,4.0983203e-09,3.3346996e-06,2.0183813e-06,3.5621401e-06
21,7.835794e-06,5.2758433e-06,4.5281427e-09,3.6827594e-06,2.2303866e-06,3.9300494e-06
22,8.609688e-06,5.795445e-06,4.9817417e-09,4.04848e-06,2.4538888e-06,4.317404e-06
23,9.419648e-06,6.3403295e-06,5.4588987e-09,4.4342837e-06,2.6889586e-06,4.7252474e-06
24,1.0263872e-05,6.909266e-06,5.9892247e-09,4.837505e-06,2.9337657e-06,5.153076e-06
25,1.114023e-05,7.501296e-06,6.5453003e-09,5.257964e-06,3.1872444e-06,5.597953e-06
26,1.2052073e-05,8.119306e-06,7.1012596e-09,5.6985673e-06,3.4514078e-06,6.0624084e-06
27,1.3010016e-05,8.7679055e-06,7.674475e-09,6.161009e-06,3.7272684e-06,6.5502345e-06
28,1.4006637e-05,9.441752e-06,8.268442e-09,6.642074e-06,4.0154396e-06,7.058853e-06
29,1.504658e-05,1.0144462e-05,8.892188e-09,7.142961e-06,4.315989e-06,7.5891553e-06
30,1.612585e-05,1.08738805e-05,9.53522e-09,7.66412e-06,4.6288574e-06,8.141893e-06
31,1.7233087e-05,1.1621226e-05,1.02407e-08,8.198876e-06,4.9514456e-06,8.710225e-06
32,1.8374238e-05,1.2390777e-05,1.0946034e-08,8.749521e-06,5.284255e-06,9.295554e-06
33,1.9550938e-05,1.3182734e-05,1.1651224e-08,9.31593e-06,5.6269228e-06,9.899133e-06
34,2.075292e-05,1.3991896e-05,1.2373457e-08,9.895053e-06,5.976639e-06,1.0517097e-05
35,2.200208e-05,1.4833539e-05,1.3096758e-08,1.0497467e-05,6.340676e-06,1.1158454e-05
36,2.3294047e-05,1.5703677e-05,1.3883498e-08,1.11209065e-05,6.717047e-06,1.1823049e-05
37,2.4625937e-05,1.6599231e-05,1.4747224e-08,1.17620775e-05,7.1041254e-06,1.2507932e-05
38,2.5983583e-05,1.7511547e-05,1.5610764e-08,1.2415801e-05,7.498946e-06,1.32056575e-05
39,2.7380043e-05,1.844914e-05,1.6567785e-08,1.3089573e-05,7.906715e-06,1.39229205e-05
40,2.8822526e-05,1.9418063e-05,1.7551569e-08,1.3784013e-05,8.32812e-06,1.4662275e-05
41,3.0299381e-05,2.040786e-05,1.8554188e-08,1.4494624e-05,8.760613e-06,1.5419328e-05
42,3.1822023e-05,2.142813e-05,1.9575223e-08,1.5226652e-05,9.207564e-06,1.619826e-05
43,3.3366166e-05,2.2462005e-05,2.0645269e-08,1.5969345e-05,9.660776e-06,1.6989445e-05
44,3.495282e-05,2.3522685e-05,2.1823057e-08,1.6731627e-05,1.0125823e-05,1.7801702e-05
45,3.656628e-05,2.4600293e-05,2.3218462e-08,1.7506058e-05,1.0598623e-05,1.8626799e-05
46,3.8214697e-05,2.5701836e-05,2.464308e-08,1.8297958e-05,1.108279e-05,1.9470835e-05
