,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,5.8695512e-08,5.2947907e-08,0.0,1.0054699e-07,4.8040725e-08,4.2238167e-08
3,1.5985432e-07,1.4422085e-07,0.0,2.7420194e-07,1.3006844e-07,1.1620343e-07
4,3.1529817e-07,2.851669e-07,8.651747e-11,5.363112e-07,2.6134572e-07,2.314551e-07
5,5.205405e-07,4.7389943e-07,2.0067183e-10,8.8242183e-07,4.3652804e-07,3.82982e-07
6,7.664858e-07,6.9945116e-07,4.7079957e-10,1.2960288e-06,6.4594445e-07,5.6530473e-07
7,1.065321e-06,9.723517e-07,9.793228e-10,1.8017416e-06,8.997339e-07,7.8748855e-07
8,1.4038592e-06,1.2805925e-06,1.559429e-09,2.3738469e-06,1.1870226e-06,1.0396648e-06
9,1.8007273e-06,1.6404944e-06,2.194243e-09,3.0449696e-06,1.5267332e-06,1.3351694e-06
10,2.250375e-06,2.0476336e-06,2.891473e-09,3.8054504e-06,1.9091829e-06,1.6703466e-06
11,2.7373317e-06,2.4884023e-06,3.9972625e-09,4.628631e-06,2.3223167e-06,2.0331122e-06
12,3.2725115e-06,2.972908e-06,5.1553006e-09,5.535956e-06,2.778409e-06,2.4307017e-06
13,3.852382e-06,3.497149e-06,6.3130967e-09,6.517337e-06,3.272872e-06,2.8598374e-06
14,4.4864637e-06,4.0684727e-06,7.518915e-09,7.587138e-06,3.8089945e-06,3.3287276e-06
15,5.153152e-06,4.668778e-06,8.757068e-09,8.710934e-06,4.3725154e-06,3.8219496e-06
16,5.85874e-06,5.3039653e-06,1.0125142e-08,9.899414e-06,4.968357e-06,4.3433165e-06
17,6.607065e-06,5.9769845e-06,1.1492931e-08,1.1158084e-05,5.6004137e-06,4.8961815e-06
18,7.406567e-06,6.6965317e-06,1.2917792e-08,1.2500589e-05,6.2764248e-06,5.4884026e-06
19,8.260017e-06,7.4641957e-06,1.45588155e-08,1.3935564e-05,6.9972025e-06,6.1181718e-06
20,9.161636e-06,8.275321e-06,1.6307911e-08,1.545555e-05,7.759074e-06,6.7853125e-06
21,1.0108341e-05,9.127118e-06,1.8138644e-08,1.7052616e-05,8.558921e-06,7.4852423e-06
22,1.1102393e-05,1.002032e-05,2.0113983e-08,1.8726332e-05,9.399122e-06,8.220297e-06
23,1.2146226e-05,1.0956763e-05,2.2250944e-08,2.0486654e-05,1.0281658e-05,8.992822e-06
24,1.3236531e-05,1.1934134e-05,2.4429538e-08,2.2324393e-05,1.1204633e-05,9.801097e-06
25,1.4369409e-05,1.2950097e-05,2.6719688e-08,2.4237666e-05,1.2164816e-05,1.0641359e-05
26,1.5551188e-05,1.4009836e-05,2.9009366e-08,2.6232276e-05,1.3167204e-05,1.151812e-05
27,1.6790407e-05,1.5119235e-05,3.132949e-08,2.8322042e-05,1.4218504e-05,1.2436824e-05
28,1.8080209e-05,1.6275855e-05,3.3752034e-08,3.0498424e-05,1.5313211e-05,1.3393745e-05
29,1.9423369e-05,1.748007e-05,3.6259166e-08,3.2765154e-05,1.645286e-05,1.4390094e-05
30,2.0819944e-05,1.8730332e-05,3.887604e-08,3.5117442e-05,1.7636814e-05,1.5426573e-05
31,2.2253602e-05,2.0015297e-05,4.166635e-08,3.7531318e-05,1.8850998e-05,1.6491345e-05
32,2.3732226e-05,2.1340964e-05,4.4471868e-08,4.0018676e-05,2.0104628e-05,1.7588833e-05
33,2.5255704e-05,2.2707696e-05,4.7284217e-08,4.2581178e-05,2.1394702e-05,1.871946e-05
34,2.6811877e-05,2.4103327e-05,5.0183502e-08,4.519889e-05,2.2711873e-05,1.9874009e-05
35,2.8430188e-05,2.5554977e-05,5.3093512e-08,4.7921636e-05,2.4079707e-05,2.1073949e-05
36,3.0102012e-05,2.7057424e-05,5.6116733e-08,5.0737028e-05,2.5494763e-05,2.2313723e-05
37,3.1823853e-05,2.8603872e-05,5.928002e-08,5.3638785e-05,2.6953618e-05,2.3589466e-05
38,3.3578188e-05,3.0178511e-05,6.252384e-08,5.659266e-05,2.8438008e-05,2.4890385e-05
39,3.5382494e-05,3.1797834e-05,6.598268e-08,5.962928e-05,2.9966768e-05,2.622757e-05
40,3.724576e-05,3.34693e-05,6.951131e-08,6.276817e-05,3.1546642e-05,2.7608725e-05
41,3.9152877e-05,3.5177447e-05,7.312676e-08,6.597764e-05,3.316387e-05,2.9023444e-05
42,4.11182e-05,3.693709e-05,7.703435e-08,6.928985e-05,3.482841e-05,3.0481853e-05
43,4.3111835e-05,3.8720766e-05,8.10161e-08,7.2649476e-05,3.6515557e-05,3.1961175e-05
44,4.515744e-05,4.055089e-05,8.533593e-08,7.609864e-05,3.824462e-05,3.347877e-05
45,4.7235386e-05,4.2409403e-05,9.015616e-08,7.9597965e-05,3.9999806e-05,3.5019577e-05
