,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,4.5743292e-08,3.0499105e-08,0.0,2.0624316e-08,1.2539588e-08,2.3928843e-08
3,1.2327052e-07,8.09309e-08,0.0,5.567261e-08,3.4245915e-08,6.349119e-08
4,2.426508e-07,1.6006595e-07,1.43218085e-11,1.1103181e-07,6.765208e-08,1.2460416e-07
5,3.99845e-07,2.6354684e-07,4.433296e-11,1.844508e-07,1.1121693e-07,2.0629145e-07
6,5.883247e-07,3.8678894e-07,7.862493e-11,2.7269184e-07,1.6333118e-07,3.0517535e-07
7,8.1832195e-07,5.3598416e-07,1.698284e-10,3.7930977e-07,2.2795003e-07,4.257322e-07
8,1.0811016e-06,7.055499e-07,2.6101285e-10,5.0164505e-07,3.0012134e-07,5.6249513e-07
9,1.3897013e-06,9.053272e-07,3.7922876e-10,6.446045e-07,3.844335e-07,7.2298417e-07
10,1.7365426e-06,1.1324337e-06,5.003146e-10,8.084162e-07,4.8013885e-07,9.033975e-07
11,2.1106341e-06,1.3775474e-06,6.650125e-10,9.849882e-07,5.8422506e-07,1.097042e-06
12,2.5223196e-06,1.6483646e-06,8.4414375e-10,1.1782897e-06,6.9817924e-07,1.3093099e-06
13,2.9704713e-06,1.9427457e-06,1.0514891e-09,1.3879934e-06,8.222614e-07,1.5403748e-06
14,3.461676e-06,2.26424e-06,1.2587915e-09,1.6182045e-06,9.565955e-07,1.790853e-06
15,3.977581e-06,2.6008584e-06,1.5058972e-09,1.8602678e-06,1.0979625e-06,2.0544662e-06
16,4.523889e-06,2.9572066e-06,1.8307048e-09,2.1163573e-06,1.2482491e-06,2.3335622e-06
17,5.1019447e-06,3.3336178e-06,2.1554447e-09,2.3892014e-06,1.408406e-06,2.6297218e-06
18,5.720484e-06,3.7360635e-06,2.483064e-09,2.6803684e-06,1.5810155e-06,2.9469834e-06
19,6.3813754e-06,4.1660114e-06,2.8497782e-09,2.9919177e-06,1.7650327e-06,3.2859664e-06
20,7.0796295e-06,4.620398e-06,3.2345353e-09,3.3217266e-06,1.960112e-06,3.6440545e-06
21,7.811982e-06,5.097756e-06,3.6337338e-09,3.667763e-06,2.1649835e-06,4.0195114e-06
22,8.582148e-06,5.597442e-06,4.0719472e-09,4.0323234e-06,2.3801827e-06,4.412394e-06
23,9.393058e-06,6.12313e-06,4.545579e-09,4.4145213e-06,2.6079188e-06,4.824312e-06
24,1.0240529e-05,6.672816e-06,5.05155e-09,4.815022e-06,2.845707e-06,5.256022e-06
25,1.1122854e-05,7.2438384e-06,5.5701235e-09,5.2322266e-06,3.0922731e-06,5.7039047e-06
26,1.2042255e-05,7.8384455e-06,6.0885874e-09,5.6671533e-06,3.34903e-06,6.1721053e-06
27,1.3005943e-05,8.462347e-06,6.6069443e-09,6.1218866e-06,3.6182494e-06,6.6643283e-06
28,1.4010437e-05,9.112462e-06,7.161562e-09,6.594841e-06,3.8992425e-06,7.1771624e-06
29,1.5057453e-05,9.790464e-06,7.728373e-09,7.0887104e-06,4.191913e-06,7.711844e-06
30,1.6146327e-05,1.0496145e-05,8.317895e-09,7.600331e-06,4.4957283e-06,8.267796e-06
31,1.7264283e-05,1.1219811e-05,8.969461e-09,8.124983e-06,4.8079096e-06,8.837934e-06
32,1.841647e-05,1.1967e-05,9.620892e-09,8.666142e-06,5.1300954e-06,9.425325e-06
33,1.9603653e-05,1.27367775e-05,1.0276107e-08,9.222658e-06,5.46221e-06,1.0029398e-05
34,2.0817299e-05,1.3523441e-05,1.0975289e-08,9.790941e-06,5.8026144e-06,1.0646741e-05
35,2.2080234e-05,1.4341569e-05,1.171207e-08,1.0380756e-05,6.1546757e-06,1.1288326e-05
36,2.3383569e-05,1.5187703e-05,1.25030155e-08,1.099069e-05,6.519065e-06,1.1952239e-05
37,2.4726554e-05,1.6060012e-05,1.3352743e-08,1.1618526e-05,6.8938853e-06,1.2635915e-05
38,2.6091799e-05,1.6948827e-05,1.4202288e-08,1.2258838e-05,7.2768635e-06,1.3332791e-05
39,2.7494276e-05,1.7862243e-05,1.50807e-08,1.2917143e-05,7.671081e-06,1.4050235e-05
40,2.894228e-05,1.8805058e-05,1.5986648e-08,1.35979635e-05,8.078031e-06,1.4792481e-05
41,3.042131e-05,1.976871e-05,1.6965098e-08,1.42946e-05,8.4937255e-06,1.5551055e-05
42,3.1946976e-05,2.0761318e-05,1.8043051e-08,1.501085e-05,8.922288e-06,1.6332526e-05
43,3.349449e-05,2.1767286e-05,1.9156273e-08,1.5737813e-05,9.35746e-06,1.7124958e-05
44,3.5082274e-05,2.280021e-05,2.0441401e-08,1.6482196e-05,9.803138e-06,1.7937668e-05
45,3.6694768e-05,2.3849203e-05,2.185138e-08,1.7239669e-05,1.0255282e-05,1.8762663e-05
46,3.8343547e-05,2.4922849e-05,2.329153e-08,1.8013277e-05,1.071792e-05,1.9606612e-05
