,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,1.9419824e-08,1.661748e-08,0.0,3.0925502e-08,1.6116852e-08,1.3574383e-08
3,6.454747e-08,5.7469563e-08,0.0,1.0649534e-07,5.3529465e-08,4.6221448e-08
4,1.2554392e-07,1.1185141e-07,0.0,2.0714104e-07,1.03673734e-07,9.167516e-08
5,2.026793e-07,1.7968834e-07,0.0,3.336661e-07,1.6677502e-07,1.4888009e-07
6,2.9619824e-07,2.614799e-07,0.0,4.86448e-07,2.4365067e-07,2.183473e-07
7,4.0852143e-07,3.5877014e-07,0.0,6.700621e-07,3.3609675e-07,3.016965e-07
8,5.3551884e-07,4.6850005e-07,5.1600318e-11,8.772589e-07,4.4202454e-07,3.9642416e-07
9,6.7517e-07,5.8857665e-07,1.0318988e-10,1.1045373e-06,5.592516e-07,5.00708e-07
10,8.296564e-07,7.213295e-07,1.5476871e-10,1.356717e-06,6.8994945e-07,6.159213e-07
11,1.0007798e-06,8.6859853e-07,2.063368e-10,1.6384348e-06,8.354524e-07,7.447399e-07
12,1.1889067e-06,1.0314218e-06,2.5789412e-10,1.947459e-06,9.9633e-07,8.8701705e-07
13,1.3882618e-06,1.2033869e-06,3.0944072e-10,2.2748445e-06,1.166893e-06,1.0381831e-06
14,1.600641e-06,1.3859457e-06,3.6097655e-10,2.624657e-06,1.3492908e-06,1.1998875e-06
15,1.8284302e-06,1.5816755e-06,4.125017e-10,2.9982791e-06,1.5443935e-06,1.3738951e-06
16,2.0783502e-06,1.7969977e-06,5.1514887e-10,3.4049392e-06,1.7583934e-06,1.5652408e-06
17,2.3461103e-06,2.026493e-06,6.1777466e-10,3.8404837e-06,1.987546e-06,1.7703398e-06
18,2.6342746e-06,2.2736817e-06,7.203791e-10,4.308234e-06,2.2344134e-06,1.99184e-06
19,2.9383082e-06,2.5347201e-06,8.229621e-10,4.802218e-06,2.495629e-06,2.226402e-06
20,3.2667008e-06,2.8165787e-06,9.255238e-10,5.336513e-06,2.7778337e-06,2.4802064e-06
21,3.6093668e-06,3.11078e-06,1.0280642e-09,5.891673e-06,3.0726026e-06,2.745197e-06
22,3.970578e-06,3.4210093e-06,1.1305832e-09,6.475947e-06,3.3829756e-06,3.0253427e-06
23,4.3551645e-06,3.750446e-06,1.2944225e-09,7.098802e-06,3.7121338e-06,3.3242736e-06
24,4.7628755e-06,4.09926e-06,1.4582276e-09,7.757624e-06,4.061574e-06,3.641549e-06
25,5.1816182e-06,4.456515e-06,1.6219989e-09,8.432685e-06,4.4205212e-06,3.9679876e-06
26,5.623329e-06,4.833221e-06,1.7857359e-09,9.144415e-06,4.8003735e-06,4.314447e-06
27,6.080057e-06,5.22311e-06,1.9494388e-09,9.879867e-06,5.1938487e-06,4.673567e-06
28,6.5582e-06,5.6312047e-06,2.1131077e-09,1.0649452e-05,5.605751e-06,5.0491403e-06
29,7.047431e-06,6.047638e-06,2.2767424e-09,1.1436701e-05,6.027308e-06,5.433477e-06
30,7.552013e-06,6.476593e-06,2.4403428e-09,1.2249968e-05,6.461796e-06,5.829596e-06
31,8.0741665e-06,6.919469e-06,2.6039095e-09,1.3089359e-05,6.9113626e-06,6.2393833e-06
32,8.609576e-06,7.372935e-06,2.7674418e-09,1.3948729e-05,7.3731408e-06,6.6600123e-06
33,9.159921e-06,7.839672e-06,2.93094e-09,1.4830351e-05,7.848381e-06,7.0927836e-06
34,9.721604e-06,8.315606e-06,3.0944043e-09,1.5729178e-05,8.334157e-06,7.5355015e-06
35,1.0300962e-05,8.805803e-06,3.2578347e-09,1.6653737e-05,8.835722e-06,7.992514e-06
36,1.08975855e-05,9.310663e-06,3.4212309e-09,1.7606073e-05,9.353295e-06,8.463425e-06
37,1.15182165e-05,9.834257e-06,3.5845933e-09,1.8593852e-05,9.89126e-06,8.953276e-06
38,1.2154551e-05,1.0371013e-05,3.7479215e-09,1.9606163e-05,1.0444408e-05,9.4559355e-06
39,1.2802037e-05,1.0916231e-05,3.911216e-09,2.063631e-05,1.1007973e-05,9.968438e-06
40,1.34688735e-05,1.1477932e-05,4.074476e-09,2.1696325e-05,1.1589601e-05,1.0496651e-05
41,1.4153436e-05,1.2053865e-05,4.2377017e-09,2.2781387e-05,1.2186981e-05,1.1038771e-05
42,1.4857534e-05,1.2646648e-05,4.4651935e-09,2.3897861e-05,1.280234e-05,1.1596884e-05
43,1.5581203e-05,1.3255925e-05,4.692637e-09,2.5046527e-05,1.3435642e-05,1.2170687e-05
44,1.6324893e-05,1.3881299e-05,4.9200333e-09,2.6223915e-05,1.408586e-05,1.2760798e-05
45,1.7091656e-05,1.4527628e-05,5.1473825e-09,2.7438402e-05,1.475781e-05,1.33701e-05
46,1.788001e-05,1.5192908e-05,5.477239e-09,2.8687546e-05,1.5448324e-05,1.3997358e-05
