,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,1.9223576e-08,1.624425e-08,0.0,3.182308e-08,1.6460973e-08,1.4196022e-08
3,6.428014e-08,5.5567398e-08,0.0,1.0511744e-07,5.5012688e-08,4.7006132e-08
4,1.2454375e-07,1.08688546e-07,9.0266125e-13,2.0566047e-07,1.07573925e-07,9.183738e-08
5,2.0073885e-07,1.7648232e-07,5.300624e-12,3.312382e-07,1.7533067e-07,1.4887782e-07
6,2.9335638e-07,2.5815154e-07,1.6095385e-11,4.8449067e-07,2.5827933e-07,2.1844379e-07
7,4.0467813e-07,3.5496763e-07,3.588573e-11,6.681358e-07,3.6007452e-07,3.029783e-07
8,5.309889e-07,4.641117e-07,6.554072e-11,8.770771e-07,4.7550952e-07,3.9869036e-07
9,6.700535e-07,5.831446e-07,1.0577892e-10,1.106611e-06,6.0379364e-07,5.0395033e-07
10,8.2452624e-07,7.1481804e-07,1.5732973e-10,1.3605177e-06,7.473172e-07,6.208263e-07
11,9.963629e-07,8.6066683e-07,2.206493e-10,1.6404096e-06,9.0864125e-07,7.511676e-07
12,1.1860233e-06,1.0224678e-06,2.9265843e-10,1.9485365e-06,1.0868982e-06,8.9448514e-07
13,1.3874978e-06,1.1935402e-06,3.762436e-10,2.2750917e-06,1.2779434e-06,1.0468702e-06
14,1.6030428e-06,1.3758604e-06,4.7130555e-10,2.6249936e-06,1.482706e-06,1.2093545e-06
15,1.8348593e-06,1.5723407e-06,5.816904e-10,3.0016029e-06,1.7044746e-06,1.3836011e-06
16,2.0896377e-06,1.7871287e-06,7.4064394e-10,3.4171007e-06,1.9485663e-06,1.5757829e-06
17,2.363454e-06,2.017268e-06,9.1533614e-10,3.865153e-06,2.2133524e-06,1.7826565e-06
18,2.6584373e-06,2.2654335e-06,1.1116433e-09,4.347458e-06,2.4980125e-06,2.0054958e-06
19,2.9708906e-06,2.5278796e-06,1.330473e-09,4.854337e-06,2.8000034e-06,2.2414154e-06
20,3.3082674e-06,2.812061e-06,1.5743835e-09,5.4014686e-06,3.1268817e-06,2.49743e-06
21,3.6612582e-06,3.1096627e-06,1.8453389e-09,5.9736185e-06,3.4698248e-06,2.7652559e-06
22,4.0338987e-06,3.4222885e-06,2.148885e-09,6.576356e-06,3.8320763e-06,3.0473793e-06
23,4.4306357e-06,3.754355e-06,2.5173241e-09,7.2182224e-06,4.219061e-06,3.3475706e-06
24,4.8513252e-06,4.1057124e-06,2.918476e-09,7.897317e-06,4.631588e-06,3.6660158e-06
25,5.283741e-06,4.4656244e-06,3.3512713e-09,8.5951915e-06,5.0584467e-06,3.9938623e-06
26,5.7407874e-06,4.8452257e-06,3.8179127e-09,9.332008e-06,5.511113e-06,4.340591e-06
27,6.214308e-06,5.2376995e-06,4.3159996e-09,1.009386e-05,5.982123e-06,4.6997616e-06
28,6.7108617e-06,5.6487033e-06,4.844749e-09,1.0892948e-05,6.476368e-06,5.0757812e-06
29,7.2197413e-06,6.0688844e-06,5.4027276e-09,1.1709994e-05,6.9857037e-06,5.4611965e-06
30,7.745168e-06,6.5016516e-06,5.993415e-09,1.2553512e-05,7.513277e-06,5.8603378e-06
31,8.289786e-06,6.948844e-06,6.6214887e-09,1.34244965e-05,8.060936e-06,6.2736503e-06
32,8.848653e-06,7.406791e-06,7.290789e-09,1.4316624e-05,8.6247155e-06,6.69796e-06
33,9.423845e-06,7.877538e-06,8.002332e-09,1.5233557e-05,9.207134e-06,7.134602e-06
34,1.0011797e-05,8.3577925e-06,8.757557e-09,1.6168024e-05,9.8052915e-06,7.581065e-06
35,1.0618497e-05,8.852659e-06,9.554655e-09,1.71312e-05,1.0423684e-05,8.041626e-06
36,1.1243653e-05,9.362352e-06,1.0400718e-08,1.8122691e-05,1.1062724e-05,8.516993e-06
37,1.1893751e-05,9.892471e-06,1.129956e-08,1.9152052e-05,1.1728127e-05,9.012073e-06
38,1.25609695e-05,1.0436194e-05,1.2253854e-08,2.0206024e-05,1.2411985e-05,9.520349e-06
39,1.3241068e-05,1.0989093e-05,1.3268338e-08,2.1278152e-05,1.3111426e-05,1.0038628e-05
40,1.394237e-05,1.1558694e-05,1.434248e-08,2.2384233e-05,1.38332725e-05,1.0573731e-05
41,1.466261e-05,1.21436915e-05,1.5474363e-08,2.3518718e-05,1.4575628e-05,1.1123245e-05
42,1.5404212e-05,1.2744568e-05,1.6688105e-08,2.4685782e-05,1.5340196e-05,1.1688487e-05
43,1.6167503e-05,1.33627445e-05,1.7962742e-08,2.588566e-05,1.6126813e-05,1.2269008e-05
44,1.6951673e-05,1.3997753e-05,1.9293452e-08,2.7116053e-05,1.6934386e-05,1.2866795e-05
45,1.776107e-05,1.4652617e-05,2.0681734e-08,2.8384631e-05,1.7767423e-05,1.3484615e-05
