,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
60,8.392726e-05,7.421376e-05,1.5510793e-07,0.00014113658,7.0606024e-05,6.238226e-05
61,8.673495e-05,7.670129e-05,1.6193954e-07,0.0001458419,7.29664e-05,6.447619e-05
62,8.959229e-05,7.923157e-05,1.6905865e-07,0.000150628,7.5366625e-05,6.660689e-05
63,9.249477e-05,8.1801816e-05,1.7629608e-07,0.00015549125,7.780415e-05,6.877207e-05
64,9.543226e-05,8.440328e-05,1.8360701e-07,0.00016041446,8.02706e-05,7.096265e-05
65,9.84105e-05,8.704115e-05,1.9108589e-07,0.00016540632,8.277203e-05,7.318368e-05
66,0.00010142552,8.97101e-05,1.9864224e-07,0.00017045699,8.5306194e-05,7.543154e-05
67,0.00010447409,9.2408416e-05,2.0658103e-07,0.0001755603,8.7868284e-05,7.7705154e-05
68,0.00010757259,9.514962e-05,2.146163e-07,0.0001807456,9.047152e-05,8.001608e-05
69,0.00011071277,9.792613e-05,2.2272731e-07,0.00018599955,9.310762e-05,8.235794e-05
70,0.0001138948,0.00010074152,2.3084003e-07,0.00019132635,9.5780895e-05,8.473181e-05
71,0.00011712654,0.000103600214,2.3912648e-07,0.00019673305,9.849485e-05,8.714256e-05
72,0.000120400335,0.00010649651,2.4755582e-07,0.00020221526,0.00010124503,8.9585454e-05
73,0.0001237088,0.00010942363,2.5610407e-07,0.00020775542,0.000104024126,9.205431e-05
74,0.00012705175,0.000112382484,2.6473973e-07,0.00021335296,0.0001068327,9.454983e-05
75,0.00013042738,0.0001153688,2.7351373e-07,0.00021900517,0.00010966661,9.7069445e-05
76,0.00013383462,0.00011838377,2.823184e-07,0.00022471133,0.00011252788,9.961271e-05
77,0.00013727469,0.00012142697,2.913871e-07,0.00023047025,0.00011541574,0.00010217984
78,0.0001407688,0.00012451973,3.0085536e-07,0.00023632278,0.000118347634,0.000104787054
79,0.00014430244,0.0001276468,3.1047637e-07,0.0002422372,0.00012131297,0.00010742477
80,0.00014786239,0.00013079715,3.2020117e-07,0.00024819322,0.00012429939,0.000110082794
81,0.0001514628,0.00013398252,3.3000907e-07,0.00025421995,0.00012732044,0.00011276814
82,0.0001551067,0.00013720464,3.3987558e-07,0.00026031776,0.0001303778,0.000115486226
83,0.00015878941,0.00014046002,3.5006119e-07,0.0002664807,0.00013346678,0.0001182347
84,0.00016250907,0.00014374795,3.6043525e-07,0.00027270542,0.00013658605,0.000121011246
85,0.00016626818,0.00014707092,3.7128785e-07,0.00027899488,0.00013973881,0.00012381852
86,0.00017006639,0.00015042901,3.822899e-07,0.00028535037,0.00014292439,0.00012665412
87,0.00017391505,0.00015383256,3.9348296e-07,0.0002917937,0.00014615321,0.00012952772
88,0.0001778037,0.00015727221,4.0506987e-07,0.00029830082,0.00014941396,0.00013243008
89,0.00018172947,0.00016074427,4.1672038e-07,0.00030486804,0.00015270719,0.0001353588
90,0.00018570074,0.00016425623,4.2871517e-07,0.00031150912,0.00015603585,0.00013832138
91,0.00018970289,0.00016779495,4.40828e-07,0.0003182018,0.00015938912,0.00014130672
92,0.00019373761,0.0001713619,4.530249e-07,0.00032494692,0.0001627701,0.00014431556
93,0.00019783212,0.00017498061,4.6536144e-07,0.00033179208,0.00016620135,0.00014736743
94,0.0002019712,0.00017863953,4.7792923e-07,0.00033870473,0.00016967059,0.00015045135
95,0.00020614725,0.00018233265,4.909605e-07,0.00034567737,0.00017317093,0.00015356389
96,0.00021037269,0.00018606964,5.040416e-07,0.00035273063,0.00017671044,0.0001567127
97,0.00021463883,0.00018984373,5.172249e-07,0.00035985073,0.00018028551,0.0001598922
98,0.0002189406,0.0001936489,5.304421e-07,0.00036702884,0.0001838894,0.00016309776
99,0.0002232778,0.00019748654,5.437046e-07,0.0003742676,0.00018752251,0.00016632942
100,0.00022765048,0.00020135577,5.5714975e-07,0.0003815621,0.00019118325,0.00016958774
101,0.00023206348,0.00020526128,5.7081587e-07,0.0003889249,0.00019488017,0.00017287784
102,0.00023650448,0.0002091924,5.846228e-07,0.00039633285,0.00019859875,0.00017618919
103,0.00024100351,0.00021317512,5.986388e-07,0.00040383867,0.0002023671,0.00017954409
104,0.00024553522,0.0002171869,6.1265195e-07,0.00041139894,0.00020616439,0.00018292638
105,0.0002501055,0.0002212334,6.268348e-07,0.00041902481,0.00020999362,0.00018633835
106,0.000254715,0.00022531429,6.411964e-07,0.0004267157,0.00021385415,0.00018978021
107,0.00025936583,0.00022943146,6.5574454e-07,0.00043447007,0.00021774681,0.00019325392
108,0.0002640488,0.00023357641,6.703464e-07,0.00044227653,0.00022166707,0.00019675045
109,0.0002687632,0.00023774803,6.8516124e-07,0.0004501359,0.00022561483,0.00020027139
110,0.00027350284,0.0002419407,7.0016165e-07,0.00045803562,0.00022958379,0.0002038108
111,0.00027828314,0.00024616893,7.151968e-07,0.00046600337,0.00023358672,0.00020737994
112,0.00028309153,0.00025042344,7.303954e-07,0.0004740151,0.00023761332,0.00021096942
113,0.00028793735,0.0002547099,7.4588934e-07,0.00048208752,0.00024167036,0.00021458554
114,0.0002928196,0.00025902814,7.616318e-07,0.00049022073,0.00024575673,0.00021822705
115,0.00029773326,0.0002633755,7.776056e-07,0.0004984062,0.0002498696,0.00022189309
116,0.00030268016,0.0002677502,7.937503e-07,0.0005066425,0.00025400883,0.00022558348
