,Benzene,Toluene,Ethylbenzene,O-xylene,M-xylene,P-xylene
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,1.5170762e-08,9.817186e-09,0.0,7.0745663e-09,3.8121892e-09,6.883569e-09
3,5.1643966e-08,3.2729545e-08,0.0,2.2719316e-08,1.4001085e-08,2.3770033e-08
4,1.00075034e-07,6.349872e-08,0.0,4.4266294e-08,2.7678496e-08,4.667532e-08
5,1.6040309e-07,1.01486826e-07,0.0,7.1283765e-08,4.4206008e-08,7.5969815e-08
6,2.3369275e-07,1.4756584e-07,0.0,1.0438322e-07,6.4880375e-08,1.10904e-07
7,3.2109455e-07,2.0270245e-07,0.0,1.4440495e-07,9.0187235e-08,1.531531e-07
8,4.1984083e-07,2.647862e-07,8.118643e-12,1.9051139e-07,1.1862568e-07,2.0075385e-07
9,5.2776113e-07,3.3349363e-07,1.6235594e-11,2.4144506e-07,1.4987059e-07,2.5319667e-07
10,6.469115e-07,4.0889745e-07,2.4350856e-11,2.986526e-07,1.8496995e-07,3.121212e-07
11,7.785047e-07,4.9256494e-07,3.2464424e-11,3.6281847e-07,2.2416648e-07,3.7784386e-07
12,9.234435e-07,5.843989e-07,4.0576306e-11,4.3425047e-07,2.6755134e-07,4.5073503e-07
13,1.0758494e-06,6.813835e-07,4.8686496e-11,5.101198e-07,3.1371135e-07,5.2815466e-07
14,1.2383465e-06,7.845652e-07,5.6794992e-11,5.9087427e-07,3.6365319e-07,6.111909e-07
15,1.4114166e-06,8.958169e-07,6.4901806e-11,6.786782e-07,4.1705366e-07,7.0015886e-07
16,1.6002421e-06,1.0183804e-06,7.300693e-11,7.749708e-07,4.7590692e-07,7.97495e-07
17,1.8026693e-06,1.1492664e-06,8.111036e-11,8.7809303e-07,5.395784e-07,9.0191503e-07
18,2.0215482e-06,1.2898657e-06,1.03165074e-10,9.890713e-07,6.091636e-07,1.0134461e-06
19,2.252103e-06,1.4373728e-06,1.2521519e-10,1.1066428e-06,6.8321236e-07,1.1311271e-06
20,2.5009315e-06,1.5969329e-06,1.4726069e-10,1.2333427e-06,7.639087e-07,1.2585716e-06
21,2.7594392e-06,1.762523e-06,1.6930161e-10,1.3671889e-06,8.487341e-07,1.3914724e-06
22,3.033006e-06,1.9367956e-06,1.9133795e-10,1.5087162e-06,9.3868914e-07,1.5315413e-06
23,3.3245008e-06,2.1212331e-06,2.3281223e-10,1.6599272e-06,1.0349747e-06,1.6800132e-06
24,3.6338188e-06,2.316375e-06,2.7427788e-10,1.8201075e-06,1.137731e-06,1.8377112e-06
25,3.951903e-06,2.5161241e-06,3.1573488e-10,1.9852814e-06,1.2438635e-06,1.9995953e-06
26,4.2870543e-06,2.7269675e-06,3.5718326e-10,2.1589296e-06,1.3552725e-06,2.171002e-06
27,4.6322043e-06,2.9449118e-06,3.9862297e-10,2.3395403e-06,1.4707376e-06,2.3476298e-06
28,4.9940163e-06,3.173266e-06,4.400541e-10,2.5294387e-06,1.5923001e-06,2.5324978e-06
29,5.364243e-06,3.4065026e-06,4.814766e-10,2.7244607e-06,1.7174344e-06,2.722003e-06
30,5.745303e-06,3.6475662e-06,5.228904e-10,2.9262176e-06,1.8472065e-06,2.9175767e-06
31,6.1393534e-06,3.8970243e-06,5.642956e-10,3.135211e-06,1.9819229e-06,3.1198772e-06
32,6.5417034e-06,4.1525045e-06,6.056923e-10,3.3505198e-06,2.120406e-06,3.3275016e-06
33,6.956143e-06,4.41492e-06,6.470802e-10,3.5717915e-06,2.2630004e-06,3.5412475e-06
34,7.379397e-06,4.6823056e-06,6.8845957e-10,3.7982934e-06,2.409233e-06,3.7588984e-06
35,7.815576e-06,4.9581804e-06,7.298302e-10,4.032448e-06,2.559758e-06,3.983819e-06
36,8.264055e-06,5.2420437e-06,7.711924e-10,4.2738857e-06,2.714404e-06,4.215e-06
37,8.729422e-06,5.53711e-06,8.1254586e-10,4.5247616e-06,2.8749964e-06,4.4541885e-06
38,9.20565e-06,5.839478e-06,8.5389074e-10,4.7819303e-06,3.0392584e-06,4.6989753e-06
39,9.689921e-06,6.1462897e-06,8.95227e-10,5.0444314e-06,3.207464e-06,4.9475793e-06
40,1.0187564e-05,6.461916e-06,9.365547e-10,5.3148538e-06,3.380492e-06,5.2032883e-06
41,1.069695e-05,6.785088e-06,9.778738e-10,5.592589e-06,3.5583698e-06,5.4657276e-06
42,1.1220366e-05,7.1171216e-06,1.0191842e-09,5.878493e-06,3.7416953e-06,5.7355114e-06
43,1.1757772e-05,7.4580403e-06,1.0604859e-09,6.173123e-06,3.9295633e-06,6.01345e-06
44,1.23088475e-05,7.807542e-06,1.1017792e-09,6.476105e-06,4.121995e-06,6.2990903e-06
45,1.2876573e-05,8.167953e-06,1.1430639e-09,6.788911e-06,4.320179e-06,6.593829e-06
46,1.3459847e-05,8.538596e-06,1.217292e-09,7.111352e-06,4.523845e-06,6.897947e-06
